Feature.ID	ST3_Total_Exon_Reads_fwd_RNA.Seq	SB3_Total_Exon_Reads_fwd_RNA.Seq	SC3_Total_Exon_Reads_fwd_RNA.Seq	SL3_Total_Exon_Reads_fwd_RNA.Seq	SC4_Total_Exon_Reads_fwd_RNA.Seq	SL4_Total_Exon_Reads_fwd_RNA.Seq	ST4_Total_Exon_Reads_fwd_RNA.Seq	SB4_Total_Exon_Reads_fwd_RNA.Seq	SC2_Total_Exon_Reads_fwd_RNA.Seq	SL2_Total_Exon_Reads_fwd_RNA.Seq	SB2_Total_Exon_Reads_fwd_RNA.Seq	ST2_Total_Exon_Reads_fwd_RNA.Seq	SC1_Total_Exon_Reads_fwd_RNA.Seq	SL1_Total_Exon_Reads_fwd_RNA.Seq	SB1_Total_Exon_Reads_fwd_RNA.Seq	ST1_Total_Exon_Reads_fwd_RNA.Seq
KIF7	11	41	12	7	14	13	20	2	37	0	10	23	16	4	35	19
KIF9	13	29	21	7	32	0	13	0	84	0	55	15	20	17	14	6
KIFAP3	66	212	157	56	141	118	135	7	405	16	606	332	275	41	653	152
KIFC1	12	23	54	6	54	1	104	5	63	10	145	60	50	2	638	52
KIFC2	15	132	77	15	169	64	79	46	88	0	180	50	56	5	313	58
KIFC3	11	194	61	275	33	292	20	70	85	24	38	38	119	19	451	26
KIN	69	123	126	52	179	133	169	90	111	8	171	330	144	46	240	219
KIR2DL1	11	2	3	12	0	4	9	0	0	0	5	1	0	11	0	0
KIR2DL3	8	0	5	3	0	1	7	4	1	0	9	0	1	23	0	0
KIR2DL4	4	1	0	1	0	0	7	0	0	0	13	0	0	6	3	0
KIR2DS4	16	1	4	8	0	0	7	0	0	0	19	0	2	7	5	0
KIR3DL1	6	1	5	2	0	1	4	0	12	0	12	2	2	12	0	1
KIR3DL2	1	0	1	0	0	0	1	0	7	0	21	0	2	5	1	0
KIR3DL3	4	0	0	2	0	3	7	0	0	0	0	0	0	6	0	0
