Feature.ID	ST3_Total_Exon_Reads_fwd_RNA.Seq	SB3_Total_Exon_Reads_fwd_RNA.Seq	SC3_Total_Exon_Reads_fwd_RNA.Seq	SL3_Total_Exon_Reads_fwd_RNA.Seq	SC4_Total_Exon_Reads_fwd_RNA.Seq	SL4_Total_Exon_Reads_fwd_RNA.Seq	ST4_Total_Exon_Reads_fwd_RNA.Seq	SB4_Total_Exon_Reads_fwd_RNA.Seq	SC2_Total_Exon_Reads_fwd_RNA.Seq	SL2_Total_Exon_Reads_fwd_RNA.Seq	SB2_Total_Exon_Reads_fwd_RNA.Seq	ST2_Total_Exon_Reads_fwd_RNA.Seq	SC1_Total_Exon_Reads_fwd_RNA.Seq	SL1_Total_Exon_Reads_fwd_RNA.Seq	SB1_Total_Exon_Reads_fwd_RNA.Seq	ST1_Total_Exon_Reads_fwd_RNA.Seq
ABHD13	101	239	522	119	230	112	336	3	243	1	190	676	443	59	850	403
ABHD14A	5	9	6	14	1	0	12	1	78	0	15	21	9	8	54	10
ABHD14B	28	44	47	264	123	291	114	3	298	46	213	107	89	67	220	89
ABHD15	26	55	59	166	30	77	124	5	121	8	87	184	57	61	180	69
ABHD16A	18	77	79	85	85	28	63	3	202	10	68	102	116	35	368	40
ABHD16B	0	0	0	1	0	0	2	0	0	0	2	0	1	1	6	0
ABHD2	202	749	823	3797	1324	2033	454	347	2493	613	6918	915	7158	888	2577	732
ABHD3	22	35	46	41	71	32	54	2	35	12	46	138	157	24	523	83
ABHD4	16	93	60	113	43	127	31	8	287	4	62	77	104	22	363	50
ABHD5	55	508	142	207	129	209	154	181	239	2	634	230	138	59	431	176
ABHD6	11	89	24	227	52	97	67	2	162	19	64	85	116	50	173	44
ABHD8	0	7	14	16	1	0	15	16	12	1	6	11	5	5	100	8
ABI1	157	744	426	177	655	191	479	44	644	21	515	1097	583	57	1262	626
ABI2	115	616	278	153	563	273	342	154	903	2	610	582	526	57	769	332
ABI3	20	25	7	18	17	64	199	12	129	16	43	132	20	5	37	84
ABI3BP	165	334	75	31	160	323	257	99	1404	0	216	716	122	60	97	458
ABL1	63	462	319	111	266	174	163	44	696	45	280	242	243	38	1102	176
ABL2	160	1250	570	296	879	510	452	150	1046	55	485	625	631	136	2564	445
ABLIM1	440	4744	1868	1564	2544	1104	1420	147	662	88	1861	2818	1672	238	1548	2217
ABLIM2	13	54	294	13	91	10	40	0	243	0	5	39	72	7	176	39
ABLIM3	19	171	78	889	123	914	41	25	174	27	43	65	300	160	899	61
ABO	30	110	485	10	712	3	83	65	198	1	59	49	120	10	5	41
ABP1	6	13	203	0	176	0	5	0	389	6	1	12	320	19	23	10
ABR	130	495	793	74	865	74	438	159	518	18	405	483	172	30	1338	365
ABRA	8	0	0	0	0	0	1	0	0	0	1	0	0	7	1	3
ABRACL	28	46	209	23	182	28	92	2	365	1	176	194	165	15	194	166
ABT1	22	34	57	50	47	6	78	13	56	7	71	127	69	28	355	75
ABTB1	10	25	48	26	29	23	41	3	89	0	27	52	26	2	155	23
ABTB2	6	76	22	63	56	60	33	3	137	6	29	14	67	22	167	25
ACAA1	35	192	169	1058	85	287	101	40	216	97	249	157	207	325	441	118
ACAA2	36	129	464	1434	314	451	73	56	594	210	148	144	659	345	287	86
ACACA	151	853	549	399	810	373	380	158	657	55	1744	620	470	219	1247	422
ACACB	61	153	191	1016	236	409	152	48	157	80	88	275	305	412	112	134
ACAD10	38	84	128	168	107	111	175	2	89	12	113	173	175	47	293	100
ACAD11	93	268	82	642	182	337	285	15	103	49	139	347	260	254	310	219
ACAD8	18	57	48	79	19	21	52	99	89	2	105	107	60	29	167	49
ACAD9	38	146	105	155	133	14	108	42	205	2	209	206	139	39	644	108
ACADL	15	4	6	108	0	152	8	0	26	0	7	11	19	46	20	3
ACADM	57	184	134	613	265	261	192	2	539	56	299	437	274	224	409	311
ACADS	3	9	51	172	6	57	5	3	11	14	4	7	36	35	67	8
ACADSB	106	152	399	2699	293	1484	318	134	174	167	175	380	1063	1419	54	296
ACADVL	107	656	556	1496	415	1295	255	101	803	74	168	419	493	302	1829	303
ACAN	2	11	59	1	8	0	3	2	333	1	3	3	11	14	126	1
ACAP1	72	38	6	17	13	1	268	3	40	2	53	377	9	8	59	174
ACAP2	283	884	494	230	600	283	995	97	1113	27	2039	1621	718	101	1827	1238
ACAP3	12	237	79	73	68	56	81	12	61	4	439	101	54	26	310	53
ACAT1	53	152	353	2077	151	1138	74	161	350	109	97	192	423	471	174	108
ACAT2	35	102	98	315	147	224	51	0	255	35	155	113	90	74	187	66
ACBD3	101	703	503	245	612	325	312	226	814	37	383	632	574	64	1263	397
ACBD4	14	16	30	65	50	46	37	8	31	34	19	61	39	33	102	26
ACBD5	50	164	236	475	415	267	173	4	289	11	243	302	440	156	569	201
ACBD6	22	82	59	28	216	87	60	11	188	0	143	109	37	11	328	81
ACBD7	10	4	40	5	28	0	22	4	73	7	55	10	4	11	16	4
ACCS	23	24	53	48	49	28	50	0	20	1	94	74	34	6	96	38
ACCSL	5	0	3	0	0	0	0	0	0	0	0	0	1	9	0	0
ACD	6	15	25	8	53	28	44	7	70	1	33	20	10	4	103	12
ACE	16	58	43	11	28	0	9	13	126	0	84	30	66	7	205	37
ACE2	13	22	291	30	108	1	1	9	37	0	1	2	43	15	26	2
ACER1	1	4	0	0	0	0	1	0	0	0	0	2	0	1	0	1
ACER2	20	62	100	22	40	10	30	269	13	4	1762	38	99	25	278	27
ACER3	69	294	148	42	119	133	241	77	207	4	221	260	201	39	555	219
ACHE	4	3	17	10	23	0	25	0	10	0	2	18	26	5	6	8
ACIN1	247	788	352	327	1098	847	1159	449	705	24	592	1134	543	106	1729	608
ACLY	109	476	617	208	537	181	320	80	1670	11	1556	570	371	64	2613	351
ACMSD	6	0	1	74	1	83	5	0	0	9	0	1	22	53	0	1
ACN9	10	19	9	15	42	8	12	2	108	1	93	39	32	11	126	34
ACO1	40	163	247	943	177	411	98	63	462	80	228	196	335	278	676	102
ACO2	48	236	177	262	210	206	218	34	368	36	226	287	198	81	447	193
ACOT1	2	9	1	48	0	1	0	0	11	2	4	2	45	36	18	2
ACOT11	28	43	115	10	92	30	44	3	84	0	45	33	50	59	144	20
ACOT12	14	0	14	327	5	262	1	0	9	23	0	2	49	96	0	2
ACOT13	53	54	265	240	254	97	159	70	219	11	106	164	231	104	492	79
ACOT2	4	10	12	93	2	137	9	0	59	1	15	13	52	30	138	5
ACOT4	0	1	4	18	3	6	3	0	0	0	2	3	13	14	96	1
ACOT6	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
ACOT7	8	30	35	29	14	18	9	18	172	0	33	36	32	7	232	21
ACOT8	5	21	43	33	2	4	16	12	74	4	37	32	26	5	125	17
ACOT9	37	181	106	79	193	81	60	39	413	8	117	165	135	17	345	103
ACOX1	142	732	739	3132	944	1482	310	406	1905	250	2524	721	1823	1021	823	481
ACOX2	13	21	71	421	24	101	18	1	13	47	1	13	94	161	9	9
ACOX3	21	125	78	83	53	72	44	23	84	19	133	115	71	26	236	87
ACOXL	12	2	8	1	0	0	9	0	0	0	69	15	2	11	9	15
ACP1	122	269	393	295	1121	198	400	56	1299	59	750	582	617	103	1273	361
ACP2	14	28	55	114	70	42	62	13	132	2	74	61	58	28	330	35
ACP5	12	38	41	22	18	50	49	9	119	1	97	86	83	7	337	25
ACP6	9	20	72	45	56	11	12	1	51	0	116	54	106	20	144	30
ACPL2	30	91	80	28	48	41	92	10	114	1	61	117	85	19	163	114
ACPP	25	270	10	3	26	1	22	0	33	5	12	98	18	20	195	96
ACPT	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
ACR	2	5	10	3	7	5	0	0	71	0	1	0	1	3	16	1
ACRBP	2	2	5	4	24	1	15	0	6	0	11	13	2	5	19	4
ACRC	29	35	16	13	41	7	81	13	28	0	41	112	23	21	84	63
ACRV1	6	0	1	1	0	0	0	0	9	0	1	1	0	10	1	0
ACSBG1	5	12	1	0	0	0	8	5	0	0	3	2	0	1	5	0
ACSBG2	12	0	0	1	14	0	5	0	0	0	1	1	1	15	6	0
ACSF2	11	45	186	88	60	110	28	3	175	2	55	50	54	31	374	33
ACSF3	16	49	115	75	38	29	118	2	194	8	87	151	90	22	235	73
ACSL1	83	540	351	4273	156	1892	205	155	335	328	1692	363	1400	2020	1086	278
ACSL3	88	652	476	675	464	430	160	17	767	108	893	441	909	164	1554	278
ACSL4	151	677	444	77	899	149	420	11	1049	10	1438	896	907	43	2334	571
ACSL5	86	91	1458	608	2026	457	172	159	807	34	391	460	1342	228	1060	250
ACSL6	29	5	116	34	500	62	48	1	306	0	5	112	11	45	2	75
ACSM1	7	2	3	2	0	0	5	0	0	0	2	1	4	15	3	1
ACSM2A	14	2	26	1502	45	899	8	13	1	128	1	2	235	461	0	3
ACSM2B	19	2	33	1466	50	815	8	77	2	78	1	5	221	432	2	4
ACSM3	20	13	60	228	39	30	33	1	55	28	41	22	86	130	26	9
ACSM4	9	0	1	0	0	0	3	1	0	0	1	1	0	14	0	0
ACSM5	13	4	20	1017	6	442	10	86	3	33	5	15	189	364	0	5
ACSS1	62	122	563	41	491	99	229	47	419	3	272	303	343	11	52	173
ACSS2	16	69	374	245	298	168	53	8	239	6	119	70	221	81	460	71
ACSS3	27	71	35	338	16	262	18	27	165	10	102	33	152	114	25	24
ACTA1	122	0	1	3	7	0	12	30	13	1	0	276	2	1	2	508
ACTA2	60	824	1286	269	634	307	43	255	7224	37	282	235	687	30	2023	134
ACTB	2265	11546	12351	7829	7932	6170	8423	1704	41774	1776	10307	14403	7970	960	51756	9970
ACTBL2	7	0	3	2	2	28	2	53	0	0	0	0	3	9	492	0
ACTC1	6	3	7	1	2	0	2	123	42	4	18	12	7	10	3	5
ACTG1	815	6488	3022	2696	3657	1467	2604	519	18687	462	3150	5327	2932	679	10283	3961
ACTG2	9	114	31	6	4	3	2	213	410	14	42	10	17	7	428	7
ACTL10	1	2	7	0	5	0	3	0	3	0	2	1	3	0	11	0
ACTL6A	38	116	127	50	233	33	77	36	245	3	457	215	164	19	635	101
ACTL6B	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
ACTL7A	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ACTL7B	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0
ACTL8	8	0	3	3	7	0	0	0	0	0	0	0	0	4	0	1
ACTL9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
ACTN1	118	1177	929	588	719	952	252	206	3540	51	562	474	943	101	9235	305
ACTN2	66	1	3	4	1	3	9	1	2	1	9	83	4	13	7	153
ACTN4	139	1746	1955	1122	1393	1053	372	222	3495	150	846	794	1167	146	5117	480
ACTR10	30	140	81	83	106	54	60	4	332	0	138	177	140	29	620	89
ACTR1A	67	385	329	276	195	170	169	33	802	65	512	362	229	63	1139	244
ACTR1B	21	112	156	134	95	76	106	156	173	9	185	153	142	24	522	71
ACTR2	622	2178	2118	838	2289	758	2541	184	4119	123	3680	4253	2307	222	5838	2972
ACTR3	347	1561	1061	415	1487	302	1330	12	2596	48	1318	2484	1075	97	3189	1672
ACTR3B	13	31	32	45	38	10	30	37	68	0	80	72	42	13	63	31
ACTR3C	20	38	49	59	5	47	75	7	78	1	40	70	65	21	209	33
ACTR5	10	41	41	14	58	4	48	0	69	0	82	79	34	11	100	47
ACTR6	33	63	70	38	139	76	60	1	141	15	142	185	87	20	144	96
ACTR8	44	82	127	50	109	31	126	50	271	4	200	226	78	27	268	167
ACTRT1	2	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0
ACTRT3	7	8	6	9	4	2	5	9	1	0	12	4	13	5	17	2
ACVR1	31	257	143	182	60	205	71	12	389	2	135	165	253	54	629	99
ACVR1B	38	172	414	312	280	459	76	10	410	41	182	136	327	78	271	116
ACVR1C	51	33	169	35	31	8	30	0	55	1	251	44	16	56	14	42
ACVR2A	51	279	171	107	148	40	94	3	282	8	379	315	251	66	348	170
ACVR2B	91	107	305	310	302	242	132	169	245	0	1151	206	236	162	645	151
ACVRL1	22	114	149	23	137	77	52	4	265	0	55	94	35	14	210	73
ACY1	2	19	46	209	20	138	8	17	103	4	89	10	58	62	228	5
ACY3	4	0	8	25	2	17	13	26	6	7	0	6	5	9	2	1
ACYP1	8	13	22	14	37	0	40	1	85	0	47	75	51	4	102	30
ACYP2	4	10	12	14	9	10	22	0	12	0	26	20	8	6	40	22
ADA	10	22	9	6	23	8	36	0	49	6	23	60	8	1	66	29
ADAD1	15	0	2	1	0	0	2	0	0	0	0	0	3	16	0	0
ADAD2	0	2	0	0	0	0	0	0	1	0	2	0	0	2	0	0
ADAL	39	33	21	34	35	65	53	1	23	29	92	116	67	32	215	63
ADAM10	168	574	366	319	855	421	436	25	1037	28	2019	1047	903	103	3304	604
ADAM11	2	1	2	2	2	0	5	2	0	0	22	0	1	3	5	1
ADAM12	32	812	181	15	48	2	128	4	664	0	144	187	51	40	1194	132
ADAM15	23	160	88	38	72	46	33	54	311	11	317	61	96	14	426	64
ADAM17	114	571	350	123	517	103	356	43	510	17	735	655	287	62	1498	368
ADAM18	21	0	5	2	0	0	10	31	0	0	0	0	0	21	0	0
ADAM19	242	341	245	410	237	646	1559	117	491	23	127	1359	232	61	671	845
ADAM2	8	0	3	2	1	0	0	0	0	0	0	0	2	17	0	0
ADAM20	12	32	9	16	60	20	60	0	1	1	43	94	113	19	54	26
ADAM21	9	0	2	2	14	0	2	0	0	0	5	0	0	7	19	0
ADAM22	64	66	34	13	85	17	60	134	143	8	27	158	66	70	20	77
ADAM23	26	220	14	1	12	0	27	0	151	0	49	36	12	31	13	36
ADAM28	199	60	45	11	155	58	849	305	147	0	152	1302	234	30	94	743
ADAM29	6	0	2	1	0	2	0	6	0	0	1	2	3	8	0	1
ADAM30	9	0	2	8	0	0	8	0	0	0	0	1	2	10	0	0
ADAM32	18	12	17	8	42	1	8	0	147	0	10	14	6	22	24	4
ADAM33	22	533	8	3	25	0	22	149	7	0	11	49	10	8	34	38
ADAM7	27	1	2	2	1	0	0	0	0	0	0	0	3	25	0	0
ADAM8	16	34	20	20	28	21	81	9	42	1	238	67	29	1	328	63
ADAM9	83	762	951	125	1619	418	106	17	1313	10	480	357	1122	73	2807	364
ADAMDEC1	42	7	15	2	15	1	78	2	134	0	207	172	13	18	276	126
ADAMTS1	58	971	276	896	807	2560	84	154	1696	58	757	81	301	102	99	135
ADAMTS10	16	76	12	16	15	123	76	89	127	7	10	66	35	6	24	35
ADAMTS12	20	192	154	15	134	79	13	64	791	27	31	27	132	26	1723	22
ADAMTS13	7	6	7	84	11	229	11	90	33	11	21	9	24	30	18	2
ADAMTS14	8	120	14	3	8	1	38	4	37	1	13	21	5	6	181	15
ADAMTS15	4	27	24	9	8	68	15	18	73	0	5	8	25	8	3	17
ADAMTS16	15	23	8	2	3	0	0	0	86	0	12	0	7	19	83	1
ADAMTS17	18	71	15	89	2	72	70	0	28	7	44	68	7	20	3	30
ADAMTS18	16	32	7	2	1	0	0	0	27	1	5	2	4	26	4	1
ADAMTS19	21	24	1	2	0	0	15	0	5	0	10	3	3	28	0	1
ADAMTS2	15	1057	435	141	444	727	52	60	1011	22	96	40	352	51	1969	40
ADAMTS20	30	0	3	7	7	0	3	114	0	0	107	0	4	55	74	1
ADAMTS3	42	22	11	12	2	1	4	28	27	1	1	27	17	32	14	16
ADAMTS4	9	238	118	160	206	719	21	4	1047	21	28	14	49	38	299	7
ADAMTS5	31	216	85	33	63	96	7	5	196	0	14	33	112	30	64	16
ADAMTS6	66	81	424	16	95	9	66	0	31	0	12	103	123	46	160	49
ADAMTS7	6	34	17	5	22	30	15	63	60	0	33	13	13	6	84	5
ADAMTS8	6	14	3	2	4	23	3	14	167	0	3	1	6	2	0	2
ADAMTS9	59	614	428	246	605	1052	108	1	1107	31	83	131	304	123	272	162
ADAMTSL1	32	37	42	14	46	92	28	3	126	4	8	37	26	40	6	19
ADAMTSL2	10	3	40	40	51	162	12	6	73	14	3	19	42	20	14	9
ADAMTSL3	39	33	36	415	27	401	37	29	159	25	6	61	164	171	8	36
ADAMTSL4	8	81	15	111	16	123	16	13	67	6	24	24	24	22	873	11
ADAMTSL5	2	99	15	12	46	0	10	1	40	0	5	9	26	2	150	12
ADAP1	1	16	123	7	65	2	3	2	201	0	17	17	173	1	324	13
ADAP2	27	126	37	53	19	66	49	0	124	5	88	121	84	26	308	58
ADAR	390	1612	1199	1152	2278	1128	1696	365	2427	111	3098	2578	1624	343	8473	1583
ADARB1	88	186	66	74	75	253	457	348	385	1	643	471	122	47	388	287
ADARB2	25	6	3	9	28	5	54	0	0	0	1	23	0	13	0	22
ADAT1	29	114	96	64	126	42	169	22	176	15	353	226	122	25	546	122
ADAT2	53	87	38	51	294	150	232	2	12	2	195	216	176	30	120	101
ADC	3	17	7	4	2	0	8	0	43	4	4	12	5	1	9	4
ADCK1	11	12	13	3	7	0	15	24	17	0	9	25	15	12	57	9
ADCK2	10	57	52	35	53	0	52	0	114	9	102	63	59	17	234	43
ADCK3	35	53	204	261	118	259	68	48	215	17	128	170	192	64	231	122
ADCK4	10	21	48	42	28	81	49	0	71	5	65	38	27	14	104	16
ADCK5	4	5	11	10	8	1	6	13	51	0	20	8	16	7	37	7
ADCY1	17	48	209	215	102	190	20	61	43	4	54	56	106	266	33	21
ADCY10	35	5	8	30	0	0	18	63	31	32	14	2	18	71	0	4
ADCY2	25	61	2	4	0	1	20	75	28	0	17	13	4	28	12	3
ADCY3	33	219	70	22	175	120	88	12	145	2	197	138	89	13	867	91
ADCY4	18	68	8	2	95	31	55	2	80	0	21	57	22	13	16	45
ADCY5	22	11	35	36	85	64	72	8	84	0	12	69	30	14	10	55
ADCY6	30	194	273	82	247	117	64	11	419	2	299	84	191	45	404	68
ADCY7	152	267	49	37	159	91	551	5	116	7	283	865	177	35	1361	538
ADCY8	4	0	7	1	9	0	1	0	0	0	0	1	2	18	0	0
ADCY9	28	188	66	246	133	136	78	14	216	26	57	117	208	86	483	111
ADCYAP1	10	53	5	3	23	5	12	0	43	0	5	14	2	10	0	2
ADCYAP1R1	22	50	3	15	38	1	17	1	72	0	2	54	10	13	0	23
ADD1	186	736	1126	481	652	280	593	286	1781	53	631	1293	553	119	3140	721
ADD2	19	4	3	5	0	13	30	9	5	0	83	58	5	10	3	38
ADD3	308	692	1132	161	1122	387	743	79	2021	28	784	1590	825	83	748	1241
ADGB	27	1	24	7	0	60	13	25	20	0	0	4	6	41	1	1
ADH1A	16	2	55	2707	10	273	5	328	10	211	2	4	446	907	4	2
ADH1B	90	74	360	14982	335	4214	75	1152	868	952	46	368	3610	6521	8	111
ADH1C	6	1	109	1309	68	829	12	4	133	105	8	9	544	1202	2	3
ADH4	41	10	138	7614	116	1926	25	521	24	340	10	25	2263	4548	6	17
ADH5	65	315	197	479	211	127	123	75	685	58	568	418	381	185	1141	269
ADH6	19	2	60	2351	16	595	6	230	6	146	9	1	409	884	1	5
ADH7	29	74	0	0	0	0	39	4	0	0	0	282	2	12	2	288
ADHFE1	13	8	5	172	3	138	38	13	0	29	50	56	47	72	18	29
ADI1	43	195	275	1951	295	1129	147	123	1425	177	365	218	749	721	695	140
ADIG	0	0	0	2	0	0	4	0	0	0	0	0	0	1	0	0
ADIPOQ	13	0	4	1	2	0	8	2	0	0	0	5	8	12	0	1
ADIPOR1	94	692	521	434	697	465	360	66	1260	44	371	468	494	123	1863	344
ADIPOR2	85	558	664	791	503	385	246	48	439	70	526	517	980	285	1043	376
ADK	47	210	118	325	54	37	111	229	190	7	1269	354	124	110	794	207
ADM	5	511	140	110	152	372	10	4	470	13	15	21	72	20	218	22
ADM2	10	8	7	14	4	8	41	1	2	0	1	16	18	2	35	14
ADNP	239	1002	1119	345	3240	267	1078	199	1128	6	1524	1510	1376	116	2752	941
ADNP2	56	298	179	91	199	117	168	68	128	11	452	317	227	47	553	230
ADO	41	102	113	90	105	10	154	4	286	1	197	248	179	25	368	168
ADORA1	5	2	3	3	26	3	6	0	6	10	3	6	7	4	20	2
ADORA2A	15	18	10	18	4	110	54	0	108	5	15	86	12	4	39	30
ADORA2B	4	44	48	3	28	0	8	0	69	0	3	14	29	3	145	18
ADORA3	12	14	7	8	6	0	17	12	25	3	27	3	25	16	31	8
ADPGK	75	178	94	141	257	183	372	4	145	42	306	523	294	31	799	330
ADPRH	34	37	33	18	60	135	87	126	116	21	175	149	39	22	323	101
ADPRHL1	4	8	28	1	9	2	3	2	1	0	0	4	12	9	110	4
ADPRHL2	15	48	30	56	42	16	34	1	174	1	108	47	34	5	307	53
ADPRM	21	12	9	13	10	21	42	0	90	0	19	66	15	13	51	67
ADRA1A	22	1	12	348	8	453	15	0	1	25	0	31	112	172	1	16
ADRA1B	0	1	1	7	0	3	4	0	0	0	0	1	4	4	0	0
ADRA1D	1	6	1	1	6	1	2	0	4	0	0	0	0	0	3	0
ADRA2A	54	162	33	1	35	17	151	0	147	0	9	238	212	2	33	224
ADRA2B	0	2	3	16	0	8	1	5	4	0	0	1	7	8	0	3
ADRA2C	0	24	2	1	0	0	0	0	0	0	4	1	1	3	1	0
ADRB1	6	4	4	10	1	1	23	7	1	0	7	12	1	7	0	10
ADRB2	23	91	6	63	0	10	52	1	12	3	22	70	17	19	91	37
ADRB3	0	0	0	1	0	0	0	0	7	0	0	0	0	0	5	0
ADRBK1	137	273	274	111	150	128	504	37	514	28	281	699	263	46	1069	410
ADRBK2	225	171	134	71	237	238	755	91	157	33	186	1044	258	55	594	773
ADRM1	14	69	108	122	129	62	37	21	335	4	138	70	105	14	460	46
ADSL	52	128	106	100	125	67	135	1	341	12	141	323	100	42	384	182
ADSS	81	337	354	140	461	175	218	165	503	18	429	519	414	62	1103	344
ADSSL1	3	18	4	28	0	24	4	1	10	13	23	10	17	10	15	14
ADTRP	43	13	9	14	26	23	136	141	39	3	13	111	49	20	495	88
AEBP1	88	1916	1079	110	1210	1338	177	177	6788	67	372	325	508	41	4244	185
AEBP2	115	475	267	132	235	401	355	19	453	19	334	708	344	49	553	499
AEN	23	101	43	62	7	127	69	29	128	18	104	119	138	17	292	122
AES	113	319	330	346	847	347	471	151	977	47	518	471	268	42	1141	335
AFAP1	60	400	573	38	453	65	96	61	874	15	129	266	343	20	2246	186
AFAP1L1	15	70	60	20	33	195	41	14	110	8	20	52	71	20	416	34
AFAP1L2	19	230	21	10	30	12	69	99	140	4	30	108	48	10	415	98
AFF1	306	1548	967	1224	1553	1193	1067	242	2129	197	1675	1931	2118	375	2942	1397
AFF2	98	39	13	13	3	2	400	5	51	8	24	170	14	26	11	87
AFF3	231	87	20	89	11	43	841	64	62	1	26	876	54	68	3	623
AFF4	350	2913	1205	821	2599	1048	1142	307	1684	41	1328	2254	1781	253	3377	1563
AFG3L2	61	351	504	418	309	166	178	1	472	49	385	445	433	136	1501	255
AFM	27	1	30	1852	7	524	10	4	10	50	0	1	336	636	0	2
AFMID	10	28	40	273	116	152	37	12	230	55	84	28	88	75	62	19
AFP	39	2	2	18	9	6	14	0	43	0	0	0	1	23	0	0
AFTPH	183	476	562	312	644	175	598	7	535	40	874	1156	639	84	1258	681
AGA	26	75	47	72	136	1	50	0	254	0	75	179	96	32	134	96
AGAP1	54	247	248	56	797	71	72	56	361	14	709	150	455	49	600	90
AGAP10	11	37	14	50	24	30	48	0	4	4	8	5	20	7	12	13
AGAP11	26	92	9	6	14	6	46	78	25	0	206	73	5	35	29	22
AGAP2	48	35	7	12	33	8	245	6	16	0	102	219	12	13	205	99
AGAP3	22	199	128	138	186	190	56	18	336	32	329	142	221	35	799	89
AGAP4	8	20	17	3	1	34	25	0	1	0	14	41	2	3	28	6
AGAP5	27	79	30	29	32	94	122	67	61	3	309	171	59	26	74	72
AGAP6	36	115	56	59	54	208	236	21	42	0	118	156	118	20	131	107
AGAP7	16	2	26	24	14	12	23	0	70	0	5	8	26	16	1	3
AGAP8	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0
AGAP9	14	43	46	39	19	34	44	1	7	3	23	93	88	18	110	54
AGBL1	19	1	3	5	1	0	9	0	8	0	1	3	4	30	0	7
AGBL2	23	5	13	9	9	4	22	9	1	0	8	37	20	28	42	18
AGBL3	37	11	14	8	30	19	38	23	54	1	22	53	35	44	16	31
AGBL4	22	1	6	7	2	16	10	0	9	0	2	3	6	26	1	1
AGBL5	30	52	115	27	91	1	51	100	108	0	153	61	80	21	456	37
AGER	10	12	3	4	9	0	55	1	8	0	15	51	5	1	15	10
AGFG1	193	815	1376	466	1027	297	619	210	1293	83	773	1192	889	138	1758	847
AGFG2	39	48	144	337	130	360	122	3	172	36	101	128	204	71	172	88
AGGF1	93	263	140	124	672	89	294	60	621	26	339	534	267	77	620	388
AGK	47	84	82	56	95	0	103	14	196	1	181	168	136	25	410	116
AGL	134	330	314	779	224	318	411	14	637	11	284	702	422	338	512	469
AGMAT	20	8	166	871	122	246	47	25	369	58	54	95	183	211	64	49
AGMO	8	0	5	117	1	56	10	0	1	10	9	3	93	86	3	1
AGPAT1	24	78	100	103	207	69	86	2	328	8	114	81	112	18	800	60
AGPAT2	8	39	128	156	87	108	7	39	214	20	70	21	179	35	625	22
AGPAT3	91	339	246	485	557	430	314	35	684	104	1073	385	352	167	867	275
AGPAT4	27	216	35	17	76	92	53	114	107	3	101	83	38	28	221	44
AGPAT5	84	185	286	92	149	179	277	136	142	1	343	420	316	77	545	298
AGPAT6	98	276	335	433	302	485	250	125	327	34	369	331	231	56	676	205
AGPAT9	22	95	35	182	55	123	18	1	23	7	11	59	156	76	211	35
AGPHD1	13	4	15	1	1	25	4	0	10	0	86	15	27	9	41	19
AGPS	116	373	545	285	386	221	239	101	700	6	656	601	588	134	1194	407
AGR2	59	7	355	1	294	2	4	2	1003	0	156	27	1994	14	5	25
AGR3	5	0	13	0	21	0	4	0	106	0	0	0	294	4	0	4
AGRN	14	162	204	108	170	86	68	56	541	24	684	55	256	21	1819	67
AGRP	2	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0
AGT	10	8	110	2904	134	2691	9	66	394	349	3	0	558	821	7	7
AGTPBP1	93	191	161	66	154	38	224	4	422	15	307	487	154	39	606	358
AGTR1	8	8	21	395	11	174	14	85	39	7	4	3	107	88	5	11
AGTR2	11	0	3	0	19	0	1	1	3	0	0	2	0	6	0	0
AGTRAP	10	35	25	11	39	1	14	5	117	5	39	32	23	4	464	19
AGXT	9	2	28	1938	8	1177	5	104	23	251	0	1	214	567	1	8
AGXT2	10	0	4	422	1	86	8	35	1	32	0	1	81	182	0	1
AGXT2L1	4	1	17	321	8	71	8	0	0	0	0	0	37	81	0	1
AGXT2L2	60	120	171	184	127	175	255	118	126	10	92	230	133	53	162	163
AHCTF1	281	858	790	470	1234	611	626	83	898	22	839	1633	528	231	2385	893
AHCY	33	176	363	309	339	177	112	2	549	35	430	154	238	131	723	129
AHCYL1	139	1026	467	775	377	482	440	202	1771	35	603	617	567	198	1230	577
AHCYL2	83	185	242	94	167	54	151	41	244	21	260	237	315	59	276	178
AHDC1	34	200	56	95	79	130	130	15	113	3	72	80	62	15	238	68
AHI1	125	349	190	69	404	58	260	160	342	3	204	352	209	67	417	172
AHNAK	3468	41271	4562	8018	16916	7915	5660	1442	44179	1070	9472	28159	11594	2620	38343	16178
AHNAK2	57	2799	53	16	2087	178	145	218	379	3	56	449	1665	29	8613	282
AHR	207	1654	579	1149	701	891	563	129	3802	73	6063	1527	2581	684	2560	1070
AHRR	16	144	18	3	16	3	17	8	16	0	13	21	37	5	45	27
AHSA1	53	248	183	163	389	66	102	79	789	2	305	251	362	53	947	131
AHSA2	150	321	201	62	221	153	592	55	274	16	434	804	305	46	760	448
AHSG	27	2	98	5833	50	1674	17	209	28	738	2	4	723	1247	5	5
