Feature.ID	P1_FF_Total_Exon_Reads_fwd_RNA.Seq	P1_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P2_FF_Total_Exon_Reads_fwd_RNA.Seq	P2_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P3_FF_Total_Exon_Reads_fwd_RNA.Seq	P3_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FF_Total_Exon_Reads_fwd_RNA.Seq	P5_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P5_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FF_Total_Exon_Reads_fwd_RNA.Seq
VPS18	41	54	157	34	332	12	31	288	25	153	205	49	22	188
VPS25	31	7	147	24	354	4	13	206	14	93	167	23	6	200
VPS26A	150	36	354	134	559	15	85	475	62	334	413	19	78	477
VPS26B	147	84	732	167	649	30	97	493	62	629	444	49	73	616
VPS28	32	40	240	33	203	3	29	178	12	141	168	21	12	139
VPS29	65	43	382	58	396	11	45	459	30	198	391	23	33	273
VPS33A	69	31	216	47	317	15	21	247	17	162	237	7	7	222
VPS33B	42	43	85	27	134	4	20	154	17	102	132	23	10	109
VPS35	345	177	2101	341	2555	24	135	2085	117	1161	1984	80	116	1999
VPS36	251	159	1407	399	1006	56	282	1127	172	755	1562	128	163	978
VPS37A	117	105	403	123	516	18	85	611	58	291	435	37	72	430
VPS37B	34	9	121	51	256	4	39	180	21	103	133	21	35	113
VPS37C	24	37	147	47	313	19	59	206	39	187	165	61	75	263
VPS37D	3	0	22	2	5	0	0	13	2	6	3	0	1	3
VPS39	255	182	681	253	1088	30	164	1024	130	724	856	110	102	976
VPS41	230	121	567	168	1100	31	127	999	100	781	993	66	79	1007
VPS45	132	55	305	73	492	11	65	501	28	350	473	55	44	388
VPS4A	119	55	472	69	655	33	79	479	43	373	454	46	52	434
VPS4B	156	72	779	116	982	9	76	927	48	455	808	20	47	897
VPS51	63	37	460	70	587	15	59	412	34	220	347	53	31	328
VPS52	101	57	391	92	527	26	48	404	59	283	403	42	46	386
VPS53	257	274	412	186	646	40	185	596	112	468	656	158	118	474
VPS54	288	95	1524	363	1618	32	171	1322	88	1088	1483	58	105	1543
VPS72	62	53	415	49	496	14	34	396	31	226	427	35	36	352
VPS8	158	64	411	121	752	25	93	728	51	536	662	64	62	661
VPS9D1	18	23	54	17	49	2	12	60	5	45	63	14	4	42
VRK1	46	19	112	32	138	9	26	123	18	69	145	4	9	73
VRK2	94	20	256	70	378	9	41	407	25	255	387	18	15	346
VRK3	38	17	84	20	107	5	25	86	18	72	112	24	8	122
VRTN	9	0	0	0	0	2	4	0	6	0	0	7	1	0
VSIG1	14	2	1	1	3	0	2	2	5	2	1	3	1	4
VSIG10	66	68	345	115	469	13	68	377	43	192	297	61	57	295
VSIG10L	31	13	14	9	34	11	21	58	5	24	48	59	13	25
VSIG2	76	17	27	8	656	5	12	252	18	238	101	7	23	500
VSIG4	19	14	18	5	52	0	8	78	2	28	9	11	3	19
VSIG8	6	2	0	0	0	0	0	1	3	0	0	2	2	0
VSNL1	56	6	18	0	180	5	3	139	9	13	68	1	2	10
VSTM1	10	0	0	0	0	0	0	1	6	0	0	8	0	0
VSTM2A	11	0	27	3	19	2	27	62	4	250	2	2	20	396
VSTM2B	1	0	0	0	0	0	0	2	1	0	0	0	0	0
VSTM2L	19	25	156	36	118	4	27	53	4	115	66	13	6	130
VSTM4	167	238	133	109	296	58	181	495	170	349	367	172	159	243
VSTM5	1	0	1	0	0	0	0	0	0	0	5	5	0	1
VSX1	20	1	1	2	0	0	0	2	4	1	1	9	0	0
VSX2	5	0	0	0	0	1	1	0	6	0	0	7	0	0
VTA1	106	30	562	108	634	20	54	591	38	275	546	40	57	523
VTCN1	44	9	33	21	67	3	12	141	23	4	33	4	8	0
VTI1A	82	58	233	66	450	28	64	493	48	256	397	48	49	330
VTI1B	112	142	622	139	946	24	115	598	50	420	626	81	66	521
VTN	4	3	1	0	2	0	1	2	2	1	2	13	4	1
VWA1	176	134	687	121	1186	43	157	1308	95	371	814	94	91	513
VWA2	38	26	134	43	147	9	35	96	5	55	178	36	5	71
VWA3A	46	2	0	0	2	1	2	3	6	2	3	19	9	3
VWA3B	31	0	1	0	0	4	0	0	5	0	0	11	5	0
VWA5A	108	74	115	46	399	30	76	513	41	120	297	62	39	135
VWA5B1	23	0	1	1	0	0	0	1	4	0	0	19	2	1
VWA5B2	15	0	2	0	1	2	1	1	3	2	0	11	3	0
VWA7	11	7	7	3	10	4	3	12	4	1	3	21	0	1
VWA8	295	95	635	229	1050	31	141	902	97	633	802	65	72	795
VWA9	86	42	453	81	533	17	56	459	39	252	438	46	45	473
VWC2	6	0	0	0	3	0	1	1	0	0	0	0	0	0
VWC2L	2	0	0	0	0	0	0	0	0	0	0	0	0	0
VWCE	16	10	0	1	3	2	1	3	6	0	3	14	0	0
VWDE	79	11	40	22	81	1	14	125	8	32	22	6	4	40
VWF	188	348	435	179	607	46	142	774	121	380	508	117	101	318
WAC	541	542	2425	763	2841	193	792	2794	499	2095	2824	323	651	2868
WAPAL	327	151	1252	313	2186	62	230	1858	149	1049	1585	90	153	1521
WARS	144	102	598	133	852	23	122	873	62	464	698	64	66	500
WARS2	58	9	296	73	328	13	44	217	24	201	261	13	34	266
WAS	9	39	14	8	18	2	0	29	7	15	20	10	8	12
WASF1	40	20	34	18	27	4	16	68	15	66	42	21	23	61
WASF2	248	382	885	480	782	143	405	881	275	722	880	356	313	733
WASF3	107	50	675	178	468	31	124	364	67	427	596	100	99	555
WASH1	90	97	245	69	302	5	32	322	40	235	343	28	27	280
WASL	208	97	890	311	1050	45	200	912	100	643	889	89	198	1000
WBP1	37	32	275	49	243	1	42	214	12	163	236	33	23	223
WBP11	207	151	543	193	629	27	116	552	105	415	599	78	108	793
WBP1L	137	140	277	103	753	33	153	629	111	362	456	141	89	409
WBP2	117	294	386	160	654	112	253	466	178	306	453	272	232	392
WBP2NL	19	2	9	10	14	3	11	15	4	10	19	3	0	16
WBP4	76	76	259	83	404	7	41	342	38	172	354	32	36	256
WBP5	75	110	211	51	621	7	38	473	31	271	280	17	36	382
WBSCR16	42	30	193	40	274	7	36	220	26	140	183	30	28	197
WBSCR17	26	17	109	23	199	15	27	161	25	174	173	32	21	173
WBSCR22	59	78	220	38	359	3	23	284	29	140	241	27	36	207
WBSCR27	2	16	14	8	12	0	3	7	6	9	23	7	6	25
WBSCR28	2	0	0	0	0	0	0	1	1	0	0	2	0	0
WDFY1	204	92	976	241	1759	75	229	1226	154	616	1257	118	145	1103
WDFY2	79	68	108	51	235	45	80	163	41	117	170	42	49	117
WDFY3	594	366	2070	627	2843	116	489	2697	274	2131	2416	255	392	2590
WDFY4	83	100	41	49	71	10	31	125	46	50	55	53	25	53
WDHD1	60	11	41	17	120	2	10	87	9	64	147	9	8	86
WDPCP	33	27	60	27	115	12	23	116	14	59	121	15	6	85
WDR1	241	288	698	244	1525	75	285	1649	152	741	1118	162	203	920
WDR11	203	133	644	166	1031	17	112	1070	53	612	1033	70	81	970
WDR12	52	4	195	35	350	0	19	278	14	156	300	13	13	273
WDR13	36	55	193	58	293	8	56	206	20	197	279	42	16	201
