Feature.ID	P1_FF_Total_Exon_Reads_fwd_RNA.Seq	P1_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P2_FF_Total_Exon_Reads_fwd_RNA.Seq	P2_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P3_FF_Total_Exon_Reads_fwd_RNA.Seq	P3_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FF_Total_Exon_Reads_fwd_RNA.Seq	P5_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P5_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FF_Total_Exon_Reads_fwd_RNA.Seq
HEBP1	49	32	86	54	131	11	41	124	23	81	124	40	47	141
HEBP2	127	54	1102	140	919	18	74	672	62	699	1086	22	26	979
HECA	127	83	887	252	768	59	157	725	120	371	550	102	117	576
HECTD1	836	445	3745	989	4572	116	554	4363	376	2795	4132	297	279	3755
HECTD2	126	49	241	94	560	25	161	820	66	208	471	34	111	416
HECTD3	67	80	208	58	347	43	83	312	58	196	272	78	76	232
HECTD4	678	714	1697	991	2250	120	721	2340	386	2726	2195	439	498	3208
HECW1	77	10	17	18	44	4	16	63	11	96	68	14	17	186
HECW2	66	22	30	9	46	8	4	17	34	30	34	9	5	46
HEG1	169	262	279	143	653	93	243	1021	165	307	647	176	201	400
HELB	55	33	128	42	178	1	16	160	9	153	142	9	16	170
HELLS	87	30	67	26	192	9	16	184	15	114	190	4	10	91
HELQ	89	30	181	59	275	10	41	316	30	176	251	29	29	214
HELT	0	0	0	0	0	0	0	0	0	0	0	2	0	0
HELZ	518	463	2088	734	2244	187	601	2183	370	1620	2012	290	516	2096
HELZ2	82	60	121	39	352	5	33	269	28	144	165	29	19	182
HEMGN	20	8	0	0	2	0	0	2	2	0	0	1	0	0
HEMK1	87	60	176	113	292	24	113	246	37	216	298	75	64	240
HENMT1	23	1	85	24	59	5	3	49	13	41	67	2	7	75
HEPACAM	20	0	0	1	3	0	2	0	4	3	0	12	1	2
HEPACAM2	15	0	24	0	137	0	0	17	0	72	8	2	2	39
HEPH	88	88	98	44	355	24	59	668	33	136	391	59	42	284
HEPHL1	47	2	1	1	0	0	3	0	10	0	0	9	3	1
HEPN1	9	0	0	0	0	0	0	0	3	0	1	5	0	0
HERC1	670	479	2025	831	3420	104	566	3247	347	2044	2597	429	305	2700
HERC2	702	675	1932	926	2897	111	603	3047	369	2170	2910	423	394	2514
HERC3	207	125	914	240	1499	51	171	945	81	682	1107	91	142	799
HERC4	155	45	602	181	797	18	141	885	91	522	907	52	74	779
HERC5	70	18	190	25	200	1	11	205	18	105	122	7	5	102
HERC6	159	31	290	59	413	3	24	433	29	207	332	13	38	509
HERPUD1	395	181	1850	495	3375	67	235	2419	166	1980	1688	105	197	3258
HERPUD2	89	61	333	86	549	21	74	505	42	261	404	30	29	417
HES1	171	66	1537	316	2093	27	172	2866	55	317	1602	58	34	321
HES2	10	8	37	9	15	0	3	19	7	35	38	6	3	13
HES3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HES4	20	1	105	2	125	0	3	115	2	65	123	4	1	104
HES5	1	0	2	0	1	0	1	0	0	0	0	0	0	0
HES6	4	2	8	1	12	0	4	9	0	10	5	3	1	6
HES7	5	0	0	0	0	0	0	0	3	0	1	13	2	0
HESX1	10	8	2	0	5	0	2	4	1	3	2	1	0	2
HEXA	71	75	362	80	439	10	92	431	42	296	433	31	21	320
HEXB	211	80	3238	288	6205	15	92	3146	35	1186	1733	18	53	1699
HEXDC	27	25	102	33	108	1	20	86	10	90	80	20	16	96
HEXIM1	175	169	223	101	543	44	104	675	102	348	297	57	75	368
HEXIM2	5	1	9	2	14	6	3	21	2	11	8	6	1	11
HEY1	26	7	22	8	37	5	16	36	9	3	42	11	6	14
HEY2	15	6	36	7	14	1	10	32	18	19	51	17	6	28
HEYL	37	83	43	31	112	37	119	133	47	63	53	122	82	61
HFE	39	30	11	14	187	6	11	143	18	47	71	13	16	37
HFE2	17	0	0	0	1	1	2	0	0	0	0	0	2	0
HFM1	38	1	13	5	19	1	20	66	6	10	24	5	3	19
HGC6.3	2	0	0	0	0	2	1	0	2	0	0	8	3	0
HGD	151	25	356	58	125	5	36	224	18	372	800	8	17	247
HGF	34	12	43	32	136	4	33	385	8	74	85	9	12	101
HGFAC	1	0	0	0	0	1	0	1	1	0	0	3	1	0
HGS	137	53	482	78	691	11	38	576	29	405	551	34	28	496
HGSNAT	160	194	619	180	908	94	287	901	176	684	828	224	310	687
HHAT	74	53	231	54	136	13	57	153	60	66	163	52	39	102
HHATL	7	0	0	0	0	1	3	1	3	0	1	10	0	0
HHEX	16	11	19	5	36	0	2	50	2	17	41	11	1	20
HHIP	72	24	106	62	181	9	71	418	31	73	196	25	41	127
HHIPL1	16	6	31	4	12	0	9	24	9	6	18	9	2	9
HHIPL2	20	22	2	6	2	0	1	9	8	13	40	4	1	7
HHLA1	39	0	0	0	0	2	0	0	4	0	0	1	0	0
HHLA2	64	1	6	2	3	1	6	2	14	4	1	37	1	7
HHLA3	45	5	24	10	24	1	13	31	17	18	15	31	11	21
HIAT1	113	59	890	152	1081	18	113	828	47	461	726	33	68	720
HIATL1	107	101	389	106	1011	48	107	738	74	329	502	82	96	584
HIBADH	86	66	510	111	939	21	115	754	55	437	558	19	83	590
HIBCH	95	24	317	91	350	13	41	405	29	269	359	27	47	416
HIC1	25	32	41	10	120	21	25	170	13	56	75	22	14	71
HIC2	35	29	35	18	66	14	16	72	25	51	37	38	18	59
HID1	84	115	582	151	669	12	84	314	43	457	487	106	67	576
HIF1A	432	206	3454	593	5962	50	277	3818	158	1888	4606	104	201	2850
HIF1AN	132	141	247	176	472	66	197	475	143	314	381	185	210	417
HIF3A	57	198	15	30	27	48	156	77	90	40	80	157	129	20
HIGD1A	82	50	318	67	690	7	116	605	58	254	441	38	61	374
HIGD1B	7	0	5	0	7	0	0	11	2	8	16	5	2	1
HIGD1C	4	0	1	2	0	0	0	0	0	0	0	2	0	0
HIGD2A	29	11	81	26	84	8	25	83	13	72	89	26	19	75
HILPDA	15	37	30	17	50	4	9	35	14	34	40	18	15	61
HINFP	41	31	96	25	94	5	27	90	24	60	76	20	13	100
HINT1	94	42	1109	221	845	37	85	637	45	285	667	54	45	437
HINT2	12	8	34	6	51	7	3	29	1	38	34	4	5	39
HINT3	149	80	350	82	754	40	143	844	91	514	732	78	138	786
HIP1	141	120	565	227	242	35	128	340	114	232	557	87	95	259
HIP1R	88	50	209	37	670	11	47	486	25	328	405	42	23	352
HIPK1	353	262	1124	361	2155	134	434	1920	293	1245	1506	220	363	1623
HIPK2 (NC_000007 139246315..139342363)	822	689	5945	2026	2814	274	1202	2130	667	3886	6534	972	783	4395
HIPK2 (NC_000007 139415729..139477693)	132	84	733	171	367	19	119	301	54	531	799	93	67	590
HIPK3	434	281	1355	448	2663	163	611	2599	344	1320	1889	284	386	1933
HIPK4	6	3	0	1	2	0	1	2	1	1	0	3	0	0
HIRA	89	119	204	75	321	11	54	265	49	212	251	24	37	230
HIRIP3	40	42	61	17	64	0	10	60	15	48	44	7	10	46
HIST1H1A	4	1	8	3	18	1	2	30	1	6	15	5	1	2
HIST1H1B	6	1	32	5	52	0	0	21	1	37	25	1	0	18
HIST1H1C	219	90	1827	111	2434	5	23	924	25	563	739	21	14	683
HIST1H1D	75	26	307	60	380	3	6	285	5	70	649	10	4	70
HIST1H1E	174	136	473	90	678	3	24	624	11	373	542	33	6	671
HIST1H1T	7	0	60	13	4	0	0	4	0	8	3	0	0	4
HIST1H2AA	2	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2AB	3	11	10	2	15	1	1	18	1	7	8	2	0	2
HIST1H2AC	152	76	1017	86	903	10	17	569	14	643	559	31	22	1113
HIST1H2AD	0	0	2	0	11	0	0	2	0	6	4	0	1	13
HIST1H2AE	54	10	498	33	303	1	8	171	1	192	245	12	2	365
HIST1H2AG	9	17	27	8	85	0	0	21	0	22	25	10	1	27
HIST1H2AH	11	9	26	4	58	1	2	32	1	19	29	7	4	34
HIST1H2AI	1	0	28	2	23	0	0	4	1	2	7	2	0	19
HIST1H2AJ	9	5	21	5	43	0	1	14	1	27	20	1	0	28
HIST1H2AK	1	0	8	1	1	0	1	5	0	5	7	0	0	19
HIST1H2AL	6	4	20	10	34	1	1	14	1	21	16	0	0	16
HIST1H2AM	18	12	66	14	60	2	4	41	3	50	44	1	2	36
HIST1H2BA	1	0	0	0	0	0	0	0	3	0	0	0	0	0
HIST1H2BB	2	5	6	1	18	0	0	10	0	14	12	0	0	6
HIST1H2BC	67	38	904	117	553	5	34	315	31	255	337	13	19	550
HIST1H2BD	157	46	2114	279	1188	6	16	531	33	901	700	23	61	1122
HIST1H2BE	6	6	6	3	34	0	1	17	1	27	17	0	0	33
HIST1H2BF	11	8	155	28	155	0	3	83	4	105	108	1	5	191
HIST1H2BG	46	30	598	46	417	0	5	188	2	222	238	19	10	362
HIST1H2BH	5	1	13	0	25	1	0	18	0	2	20	0	0	9
HIST1H2BI	6	0	3	2	13	0	0	12	1	5	10	0	0	4
HIST1H2BJ	18	10	60	7	61	1	2	39	3	42	58	0	1	43
HIST1H2BK	85	25	1103	112	704	3	11	269	13	335	290	11	15	492
HIST1H2BL	4	12	16	1	23	0	0	10	3	5	24	1	0	23
HIST1H2BM	5	10	12	4	15	0	2	9	3	11	4	0	0	25
HIST1H2BN	6	0	11	5	26	0	0	12	1	15	21	3	2	12
HIST1H2BO	3	0	13	3	17	1	2	11	0	13	14	0	0	17
HIST1H3A	0	0	7	1	8	0	0	15	1	4	2	2	0	6
HIST1H3B	4	0	21	1	37	2	3	17	0	9	14	0	1	3
HIST1H3C	2	14	23	6	53	0	0	16	0	11	18	0	0	3
HIST1H3D	33	27	240	39	191	5	12	87	11	153	105	2	4	254
HIST1H3E	0	2	5	0	4	0	0	3	3	0	6	0	0	5
HIST1H3F	0	6	1	1	9	0	0	5	1	0	2	2	0	2
HIST1H3G	0	2	0	2	2	1	0	3	0	1	2	0	0	0
HIST1H3H	1	4	10	6	17	0	2	7	0	4	8	0	5	16
HIST1H3I	8	5	15	2	26	0	1	11	0	29	28	1	2	16
HIST1H3J	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HIST1H4A	2	7	2	0	2	0	1	2	0	0	0	0	0	0
HIST1H4B	10	13	15	6	46	2	3	64	3	18	32	1	5	18
HIST1H4C	7	12	24	4	79	2	8	76	9	14	34	3	5	20
HIST1H4D	12	4	15	8	35	0	5	24	0	18	17	2	1	26
HIST1H4E	58	32	238	19	384	8	12	400	5	116	250	9	9	211
HIST1H4F	0	4	0	1	6	0	1	11	0	3	21	4	1	0
HIST1H4H	38	22	302	17	189	1	9	175	3	80	110	2	7	149
HIST1H4I	3	3	0	0	2	1	0	3	2	0	3	1	0	1
HIST1H4J	6	5	8	0	23	0	2	9	0	14	12	0	2	20
HIST1H4K	2	2	20	1	14	0	0	13	1	7	11	1	1	12
HIST1H4L	2	0	32	2	13	0	1	4	1	25	11	0	0	9
HIST2H2AA3	152	37	1561	82	699	7	11	287	9	388	395	9	7	743
HIST2H2AA4	141	48	1479	78	752	4	17	294	8	365	354	8	8	708
HIST2H2AB	16	19	67	11	80	0	6	83	4	31	65	3	4	68
HIST2H2AC	119	73	380	80	518	2	26	675	36	294	463	7	8	409
HIST2H2BE	275	144	2892	732	1548	63	188	746	104	1121	874	74	221	1549
HIST2H2BF	91	79	362	224	480	23	107	240	117	560	414	139	259	647
HIST2H3A	0	5	8	3	4	0	0	9	1	4	7	1	0	4
HIST2H3C	1	3	5	2	11	1	1	6	0	3	5	0	0	1
HIST2H3D	3	0	5	1	11	0	0	5	0	3	4	0	0	1
HIST2H4A	4	14	39	6	29	0	1	35	0	17	19	2	2	41
HIST2H4B	9	10	23	8	26	0	5	29	0	26	25	5	5	39
HIST3H2A	13	0	245	14	69	0	4	36	2	86	82	13	2	150
HIST3H2BB	3	0	9	0	7	0	0	1	0	8	4	1	3	6
HIST3H3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST4H4	16	11	30	10	51	0	5	44	1	30	28	3	0	65
HIVEP1	343	198	475	236	1467	45	192	1101	99	868	926	114	167	1265
HIVEP2	220	204	727	270	951	59	190	953	154	512	677	164	115	813
HIVEP3	103	184	174	153	140	17	118	209	59	95	217	116	35	121
HJURP	29	1	21	5	81	2	3	16	5	23	18	18	2	21
HK1	392	276	656	152	2434	36	149	1653	109	1087	1430	113	91	1375
HK2	83	34	240	117	781	34	90	459	41	388	293	73	48	544
HK3	11	8	0	2	15	1	0	35	2	5	6	9	1	3
HKDC1	28	0	0	0	0	0	0	1	6	1	0	5	1	0
HKR1	166	132	918	318	793	24	119	554	70	810	828	107	107	1079
HLA-A	862	957	2201	713	3102	111	337	5607	246	3392	2436	338	302	2109
HLA-B	741	697	2335	632	4976	130	473	7078	261	3457	3363	380	392	3804
HLA-C	661	751	2091	440	3681	101	236	3164	128	2528	1751	202	281	2944
HLA-DMA	25	50	69	25	171	7	16	210	12	55	101	25	16	71
HLA-DMB	33	28	876	126	135	3	38	217	12	68	527	30	19	67
HLA-DOA	33	65	58	40	127	8	37	239	30	76	101	47	15	50
HLA-DOB	20	12	7	9	12	0	3	29	4	3	8	2	12	14
HLA-DPA1	94	187	366	152	1098	55	163	1053	100	475	648	117	78	307
HLA-DPB1	150	177	376	141	830	33	141	1014	80	406	496	124	85	405
HLA-DQA1	70	89	130	79	400	24	204	786	28	233	221	22	68	186
HLA-DQA2	14	8	25	13	84	4	0	0	21	70	46	17	5	20
HLA-DQB1	36	127	191	106	531	20	98	863	18	105	189	31	66	161
HLA-DQB2	5	6	10	7	38	4	4	36	1	18	25	9	0	6
HLA-DRA	198	337	562	253	1568	40	155	1641	99	689	875	117	158	581
HLA-DRB1	176	229	402	133	1058	27	136	1888	42	425	594	57	57	452
HLA-DRB5	43	85	397	117	968	15	56	770	11	173	249	34	42	376
HLA-E	659	826	1526	503	3291	170	446	4552	346	2109	2007	441	303	1707
HLA-F	60	41	117	42	254	9	14	460	8	142	147	11	17	131
HLA-G	5	3	1	0	2	0	4	6	3	18	0	6	0	1
HLCS	191	92	854	283	908	37	113	580	77	702	922	49	164	886
HLF	126	179	192	96	482	62	239	723	121	194	459	101	116	307
HLTF	211	96	1673	284	1834	36	105	1169	80	907	1520	52	99	1522
HLX	8	4	33	6	37	1	8	64	1	47	46	4	2	31
HM13	172	142	703	202	1005	14	79	553	54	635	585	85	73	860
HMBOX1	105	119	397	173	357	36	144	426	73	310	299	71	103	386
HMBS	16	4	35	12	61	2	6	28	4	35	18	12	3	32
HMCN1	387	240	504	212	897	46	279	2375	142	544	1053	143	131	1130
HMCN2	36	55	24	21	26	33	79	98	39	19	72	103	25	17
HMG20A	84	82	301	105	380	26	93	376	65	189	288	55	65	268
HMG20B	140	147	1383	350	1215	28	183	652	106	1397	959	82	93	1411
HMGA1	30	78	94	37	260	26	39	170	31	104	79	77	61	106
HMGA2	21	0	3	1	1	3	1	1	14	0	0	103	21	0
HMGB1	527	316	3132	537	3150	114	401	3198	239	1490	3531	152	324	2224
HMGB2	45	72	221	45	652	7	13	408	17	255	283	12	8	348
HMGB3	54	9	325	46	193	2	22	162	18	246	263	26	24	188
HMGB4	10	0	0	0	0	0	3	0	0	0	0	5	0	0
HMGCL	40	13	204	23	306	1	24	258	21	150	216	32	19	290
HMGCLL1	28	2	6	2	18	8	11	40	12	15	65	17	15	21
HMGCR	163	26	1073	182	1241	12	43	715	64	786	1027	45	38	1033
HMGCS1	226	100	786	177	1536	45	87	833	86	931	862	55	78	728
HMGCS2	127	34	123	28	4143	19	37	430	25	270	325	12	22	1018
HMGN1	237	88	1391	208	1821	49	92	1194	66	759	1366	88	119	1193
HMGN2	476	308	2611	433	2441	40	184	2029	151	1215	1977	121	143	2033
HMGN3	107	65	215	51	566	12	35	573	27	334	515	25	19	434
HMGN4	79	55	240	81	520	20	58	607	40	237	361	29	43	370
HMGN5	16	41	13	9	26	0	14	36	13	17	35	8	5	36
HMGXB3	188	182	476	220	727	27	132	511	95	623	692	132	57	719
HMGXB4	109	57	479	151	474	21	96	326	60	272	442	77	117	409
HMHA1	37	39	33	29	79	0	15	102	9	45	45	17	7	41
HMHB1	8	0	0	0	0	0	1	0	0	0	0	1	0	0
HMMR	22	1	45	8	113	3	1	22	1	51	52	0	1	36
HMOX1	10	8	3	0	30	1	6	28	8	13	11	28	12	14
HMOX2	61	30	288	43	395	7	19	248	24	166	277	26	12	251
HMP19	15	0	1	0	0	5	0	7	2	2	0	2	0	0
HMSD	3	0	0	0	0	0	0	1	0	0	0	0	3	0
HMX1	1	0	2	0	1	0	0	0	0	0	0	0	0	0
HMX2	3	0	0	0	0	0	1	2	1	0	0	2	1	0
HMX3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
HN1	32	7	48	20	110	1	9	51	5	70	62	11	3	62
HN1L	253	104	1602	365	2190	79	269	1084	172	1341	1493	195	263	1703
HNF1A	7	2	0	0	2	0	1	0	11	6	0	8	19	1
HNF1B	23	10	65	31	23	0	12	36	9	32	47	27	2	8
HNF4A	13	1	1	0	0	1	1	0	3	0	0	18	5	0
HNF4G	31	0	47	16	76	0	7	48	12	62	17	3	25	106
HNMT	152	79	802	131	750	23	68	868	58	306	455	22	41	417
HNRNPA0	204	231	668	344	592	100	258	673	176	612	741	130	273	790
HNRNPA1	466	661	2486	1094	2412	139	710	2270	347	1624	2272	376	508	2138
HNRNPA1L2	85	63	176	63	189	55	60	162	49	126	201	51	37	152
HNRNPA2B1	667	817	2163	1634	2614	246	943	2462	500	2116	2532	489	911	2214
HNRNPA3	635	543	1506	1149	1774	190	715	2349	455	1933	2395	390	595	2330
HNRNPAB	105	88	571	113	714	11	53	565	28	432	539	27	47	461
HNRNPC	507	438	1806	676	2013	87	388	1699	220	1278	1801	211	381	1703
HNRNPCL1	13	1	0	1	0	1	1	0	8	0	1	7	0	0
HNRNPD	309	250	847	494	1056	83	248	1063	177	900	1006	117	231	1026
HNRNPF	272	180	2085	335	2869	57	170	1861	100	1478	2256	153	184	2119
HNRNPH1	613	541	2616	945	2937	129	465	3118	321	1991	3082	378	412	2088
HNRNPH2	49	15	1153	115	1694	9	13	1336	5	700	1038	2	8	1015
HNRNPH3	160	266	249	255	393	60	191	466	124	314	424	128	159	350
HNRNPK	1142	555	8519	1385	8656	156	522	6753	358	4649	7765	252	451	6789
HNRNPL	257	297	1416	380	1827	74	242	1154	136	919	1592	126	185	1294
HNRNPM	278	222	950	324	1019	65	155	1050	129	877	1059	134	125	924
HNRNPR	346	356	2437	590	2258	66	286	1949	195	1379	2076	196	260	1812
HNRNPU	1212	1131	5870	1896	6777	302	1225	6048	734	4134	5721	645	1112	5738
HNRNPUL1	389	572	1666	443	1788	85	395	1721	233	1185	1799	247	273	1367
HNRNPUL2	304	354	537	368	637	72	237	674	220	599	627	205	180	629
HNRPDL	636	395	3038	565	3942	97	341	3856	213	2453	3796	181	212	2722
HNRPLL	98	67	407	86	510	11	76	597	36	262	491	33	54	375
HOGA1	13	4	6	1	6	1	3	22	8	2	10	12	3	10
HOMER1	40	19	92	35	191	8	15	143	21	88	112	35	24	149
HOMER2	487	155	3785	518	3160	45	145	1581	99	2019	2600	64	86	2541
HOMER3	12	17	89	22	46	5	5	77	8	46	90	16	2	50
HOMEZ	58	85	236	68	346	15	53	262	43	189	224	50	31	252
HOOK1	151	18	914	169	1254	10	53	697	49	664	951	26	45	1127
HOOK2	81	51	298	70	471	3	23	376	11	284	344	17	9	319
HOOK3	481	378	1357	701	1870	204	627	2185	338	1525	1865	289	513	1500
HOPX	18	1	24	10	80	2	15	108	20	17	46	5	5	28
HORMAD1	11	0	1	0	3	0	2	3	3	0	1	3	1	0
HORMAD2	14	0	0	0	0	0	0	0	2	0	0	2	1	0
HOXA1	15	0	8	3	42	1	0	16	9	2	4	12	1	15
HOXA10	107	18	488	21	429	14	56	467	31	361	476	64	38	509
HOXA11	21	16	62	29	84	4	26	127	9	82	90	16	9	84
HOXA13	193	130	201	75	584	28	135	795	104	511	514	53	71	641
HOXA2	9	1	3	6	18	2	3	9	1	3	3	7	9	2
HOXA3	32	27	51	33	48	13	11	28	20	54	30	31	21	35
HOXA4	11	16	10	7	7	7	13	16	19	19	10	17	9	18
HOXA5	15	28	100	46	104	7	9	73	12	74	68	8	8	76
HOXA6	6	0	9	3	11	0	3	7	1	15	12	0	1	7
HOXA7	13	22	10	6	42	11	22	65	7	30	25	6	15	10
HOXA9	13	6	278	40	126	10	13	145	12	152	185	16	9	271
HOXB1	1	0	0	0	0	0	0	0	0	0	0	1	1	0
HOXB13	228	106	1956	414	2512	53	170	1365	147	1283	1562	157	172	1840
HOXB2	11	6	6	9	52	5	10	55	10	13	18	7	12	13
HOXB3	27	20	14	23	64	8	12	65	18	16	37	32	23	7
HOXB4	6	1	1	3	11	1	1	6	8	2	7	1	1	1
HOXB5	0	0	0	2	5	0	1	1	2	0	1	4	1	1
HOXB6	9	2	0	2	14	6	1	0	0	3	7	1	0	2
HOXB7	8	4	1	1	13	0	2	10	5	6	9	2	3	3
HOXB8	8	0	0	0	1	3	2	0	3	0	0	45	6	0
HOXB9	21	6	11	3	9	4	4	2	8	2	0	7	8	3
HOXC10	8	0	0	1	1	1	2	1	1	0	0	4	1	0
HOXC11	5	1	0	1	1	3	0	1	7	27	0	6	5	0
HOXC12	1	0	0	0	0	0	0	0	0	1	0	0	1	0
HOXC13	7	0	0	0	0	1	1	0	1	6	0	2	1	0
HOXC4	5	0	115	63	9	2	2	30	3	141	11	16	15	52
HOXC6	0	0	24	3	7	0	1	1	1	25	6	0	1	15
HOXC8	9	0	2	0	2	1	0	0	3	0	0	8	1	0
HOXC9	8	0	9	3	0	0	1	0	2	26	0	0	1	3
HOXD1	0	0	7	2	4	0	0	0	1	1	0	3	1	5
HOXD10	45	23	17	21	153	10	13	220	36	59	71	10	12	19
HOXD11	6	12	8	2	76	2	3	81	9	12	14	8	0	6
HOXD12	1	0	1	0	2	0	0	4	0	0	1	0	0	0
HOXD13	36	36	33	22	168	18	28	254	32	41	115	28	18	31
HOXD3	10	0	4	1	0	4	2	4	2	1	5	2	3	0
HOXD4	5	0	4	0	3	3	2	7	3	2	8	3	1	1
HOXD8	17	2	54	11	42	3	4	59	8	28	20	3	6	19
HOXD9	9	53	5	6	29	4	16	61	17	19	33	21	8	8
HP	14	0	0	1	7	0	0	16	0	4	2	1	0	0
HP11026	0	0	0	1	0	0	0	0	0	0	0	0	1	0
HP1BP3	426	493	1556	550	1655	67	392	1899	285	1226	1812	215	319	1621
HPCA	10	1	0	0	1	0	2	0	0	4	0	0	1	0
HPCAL1	19	6	41	26	75	15	24	44	10	33	76	49	12	67
HPCAL4	23	8	1	0	2	2	0	2	11	0	2	14	3	6
HPD	18	7	1	1	7	1	4	17	4	0	3	4	1	1
HPDL	1	0	1	0	1	1	3	3	2	1	1	1	0	1
HPGD	73	36	58	28	8332	26	16	351	30	459	64	1	28	371
HPGDS	36	8	19	3	51	0	8	49	7	14	30	5	8	37
HPN	15	1	562	129	361	7	115	201	16	184	478	61	41	571
HPR	10	0	0	0	0	0	0	1	0	1	1	1	0	0
HPRT1	28	14	48	14	142	4	12	98	4	71	92	6	11	88
HPS1	59	44	39	40	199	12	59	216	39	201	203	70	33	158
HPS3	97	73	356	85	578	13	36	574	34	294	386	36	27	387
HPS4	101	90	190	77	399	8	63	372	36	210	283	47	45	314
HPS5	110	36	192	77	429	15	44	435	51	205	368	43	38	349
HPS6	12	12	70	14	133	1	9	96	10	68	81	9	7	69
HPSE	35	6	4	3	43	0	2	36	5	24	13	10	3	12
HPSE2	48	31	55	33	146	11	153	293	32	44	66	37	101	231
HPX	9	3	17	10	12	0	3	10	1	10	14	6	7	15
HR	18	22	16	17	42	11	4	66	24	28	42	43	4	3
HRAS	40	44	123	16	183	1	18	118	14	92	146	16	7	95
HRASLS	10	0	0	0	0	0	0	2	0	0	0	1	0	0
HRASLS2	5	0	0	0	2	0	0	1	2	0	0	0	0	0
HRASLS5	26	0	2	1	19	3	6	30	8	5	11	1	5	7
HRC	11	45	5	4	11	4	7	9	4	11	10	10	0	7
HRCT1	1	1	2	0	6	2	1	1	1	4	4	0	1	7
HRG	17	0	0	0	0	0	0	0	2	0	0	8	0	0
HRH1	40	24	15	9	148	11	15	82	9	35	48	30	9	16
HRH2	23	8	5	6	12	4	6	23	9	8	20	17	4	5
HRH3	2	0	1	0	0	1	0	1	3	0	3	3	0	1
HRH4	31	0	2	0	0	0	0	1	8	0	5	2	1	3
HRK	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HRNR	72	14	8	1	1	4	3	4	10	3	0	16	4	5
HRSP12	44	17	101	32	201	1	19	172	7	77	125	4	26	117
HS1BP3	40	41	124	23	232	11	16	211	12	133	227	26	8	205
HS2ST1	103	102	764	182	1355	34	110	706	75	453	597	49	124	1011
HS3ST1	13	1	12	4	21	1	5	26	2	4	18	0	4	12
HS3ST2	3	1	7	0	7	0	0	7	2	6	7	0	0	0
HS3ST3A1	14	3	12	6	57	3	17	65	13	21	51	5	5	33
HS3ST3B1	4	0	7	1	21	1	7	30	0	16	17	2	2	23
HS3ST4	11	2	107	31	38	1	3	7	6	10	36	15	1	41
HS3ST5	15	0	0	1	0	0	0	0	3	0	0	2	1	0
HS3ST6	4	0	0	0	0	0	0	0	2	1	0	0	0	0
HS6ST1	77	109	403	129	454	21	63	464	51	183	310	73	30	200
HS6ST2	32	27	162	37	34	7	25	72	12	41	132	11	14	104
HS6ST3	42	2	13	9	411	3	12	59	13	78	45	11	1	106
HSBP1	124	26	1756	265	741	11	92	576	60	397	1067	47	63	681
HSBP1L1	19	5	47	12	145	5	17	135	12	107	67	1	3	118
HSCB	28	7	77	25	107	11	27	81	10	45	69	12	5	68
HSD11B1	14	15	18	11	44	0	8	51	1	33	99	5	4	17
HSD11B1L	7	0	4	2	11	0	5	7	6	14	14	5	2	8
HSD11B2	6	21	17	7	109	7	12	82	5	16	53	9	7	67
HSD17B1	17	9	7	3	9	4	7	11	5	4	16	12	5	8
HSD17B10	41	17	243	13	334	2	11	220	4	115	188	14	5	146
HSD17B11	40	43	494	72	459	13	40	348	33	138	699	39	37	317
HSD17B12	251	65	995	219	1558	27	121	1115	73	702	1308	34	81	982
HSD17B13	25	5	11	13	444	8	4	130	35	29	27	27	0	14
HSD17B14	8	19	10	1	37	2	12	36	8	42	24	10	8	45
HSD17B2	8	1	0	0	7	1	0	12	3	0	11	3	0	1
HSD17B3	12	6	2	4	9	1	2	13	9	7	6	3	2	8
HSD17B4	362	123	1743	252	3218	36	68	1717	60	1961	1504	75	81	1670
HSD17B6	38	9	129	19	1315	8	58	710	21	702	394	16	37	2470
HSD17B7	42	12	77	14	98	2	14	121	16	60	113	18	14	61
HSD17B8	15	0	15	9	47	0	0	23	2	11	19	15	4	15
HSD3B1	17	0	1	0	0	0	0	0	1	1	0	0	0	0
HSD3B2	10	0	0	2	0	1	0	0	3	1	2	3	0	1
HSD3B7	13	10	25	4	67	3	14	66	6	29	57	14	17	59
HSDL1	73	55	299	71	435	13	54	432	43	190	404	35	22	314
HSDL2	122	74	504	102	855	9	65	537	62	385	635	43	62	648
HSF1	43	45	214	86	225	7	53	240	32	177	227	55	31	154
HSF2	42	9	112	13	234	9	24	323	9	99	223	7	6	189
HSF2BP	24	6	14	13	9	0	5	26	6	10	20	9	1	19
HSF4	86	67	210	105	218	8	106	252	44	313	307	63	47	224
