Feature.ID	B1_Total_Exon_Reads_fwd_RNA.Seq	B2_Total_Exon_Reads_fwd_RNA.Seq	B3_Total_Exon_Reads_fwd_RNA.Seq	B4_Total_Exon_Reads_fwd_RNA.Seq	B5_Total_Exon_Reads_fwd_RNA.Seq	B6_Total_Exon_Reads_fwd_RNA.Seq	B7_Total_Exon_Reads_fwd_RNA.Seq	B8_Total_Exon_Reads_fwd_RNA.Seq	B9_Total_Exon_Reads_fwd_RNA.Seq	B10_Total_Exon_Reads_fwd_RNA.Seq
ABL1	441	287	94	268	204	28	185	288	46	671
ABL2	546	576	341	535	365	65	374	890	97	927
ABLIM1	4580	2294	2257	1620	725	148	1272	138	272	5673
ABLIM2	3	3	6	1	4	13	23	4	18	17
ABLIM3	616	892	41	349	88	68	61	11	130	1485
ABO	81	24	0	75	0	4	35	8	1	7
ABP1	2	76	2	0	0	2	8	2	6	10
ABR	1154	791	446	318	403	50	643	340	118	2415
ABRA	0	1	5	0	1	10	9	1	6	6
ABRACL	947	821	246	432	630	24	397	615	126	2067
ABT1	238	231	106	120	137	20	128	76	44	406
ABTB1	67	15	9	41	10	3	22	19	6	35
ABTB2	6	40	16	31	11	15	48	65	18	70
ACAA1	588	538	216	484	200	37	227	232	74	788
ACAA2	333	183	10	21	152	3	149	211	38	543
ACACA	1262	1523	918	1227	1145	142	761	1726	332	5774
ACACB	302	26	125	73	13	23	200	130	54	243
ACAD10	226	172	71	212	132	36	147	145	52	433
ACAD11	309	242	222	215	263	16	201	99	53	519
ACAD8	189	172	99	123	121	8	97	94	37	390
ACAD9	578	847	227	388	518	32	286	359	72	1283
ACADL	13	13	9	2	0	14	21	21	15	26
ACADM	1354	1891	674	425	543	68	703	734	79	1721
ACADS	55	59	12	28	21	2	19	30	10	179
ACADSB	1118	812	389	789	381	83	302	231	159	1894
ACADVL	2125	2594	849	2195	817	80	1399	979	300	5904
ACAN	1	15	10	41	14	18	20	27	24	27
ACAP1	9	14	5	4	6	4	8	7	7	9
ACAP2	1763	3326	869	1075	1136	94	687	1422	188	3534
ACAP3	87	81	63	220	189	14	131	211	23	345
ACAT1	317	394	101	126	284	12	105	219	52	453
ACAT2	377	532	127	257	223	24	134	343	41	827
ACBD3	1579	2633	1131	1187	650	86	831	433	161	4977
ACBD4	58	24	28	43	21	10	40	19	15	92
ACBD5	1319	2648	355	780	915	92	589	1050	153	4280
ACBD6	506	428	238	313	314	14	247	561	50	603
ACBD7	16	43	13	4	84	16	21	91	14	123
ACCS	75	16	22	148	47	17	79	41	33	29
ACCSL	1	0	6	0	0	16	11	6	19	13
ACD	35	63	19	28	45	3	25	24	6	154
ACE	53	57	19	25	35	13	56	58	9	176
ACE2	18	4	17	36	4	13	13	31	20	87
ACER1	0	0	2	0	0	1	1	0	0	2
ACER2	3222	8500	142	8340	4044	98	1412	2702	518	31006
ACER3	351	178	128	163	250	15	145	233	91	470
ACHE	4	0	5	14	1	1	2	3	3	3
ACIN1	2412	1458	752	1880	1068	103	975	1198	312	5801
ACLY	1739	1592	643	1622	1091	65	610	1355	256	5912
ACMSD	1	0	4	0	2	9	2	8	21	8
ACN9	93	210	56	48	80	8	54	58	21	193
ACO1	751	409	115	128	263	42	255	346	107	577
ACO2	718	875	461	691	209	53	484	253	110	1905
ACOT1	32	45	14	4	7	1	11	6	5	49
ACOT11	360	259	24	112	81	44	166	153	87	611
ACOT12	3	1	6	1	0	14	7	4	23	15
ACOT13	487	431	153	247	317	53	215	209	56	510
ACOT2	99	200	25	66	23	7	54	27	14	81
ACOT4	40	83	7	30	14	5	10	17	6	29
ACOT6	0	0	0	2	0	3	3	7	4	3
ACOT7	36	128	11	46	122	4	39	118	21	156
ACOT8	89	84	22	50	90	2	43	62	10	183
ACOT9	327	222	95	59	186	5	156	253	36	157
ACOX1	5294	4964	1251	4124	6909	308	1611	1278	615	16619
ACOX2	2	14	2	1	1	11	8	6	8	20
ACOX3	338	427	70	371	233	16	121	56	40	2171
ACOXL	1348	528	71	1317	1239	24	784	1111	87	1141
ACP1	1695	1763	400	828	936	90	652	695	189	4964
ACP2	137	112	51	60	77	12	78	72	28	181
ACP5	47	39	21	13	25	5	38	7	13	155
ACP6	392	1082	170	359	302	18	325	147	48	383
ACPL2	262	891	103	207	577	36	120	347	73	1698
ACPP	14	131	6	41	8	22	21	31	23	132
ACPT	0	1	2	0	1	0	2	0	2	1
ACR	1	0	1	0	0	2	0	2	3	0
ACRBP	12	6	7	6	20	7	5	10	2	15
ACRC	54	46	32	54	24	8	38	16	16	99
ACRV1	0	0	2	2	0	5	4	11	6	10
ACSBG1	24	5	14	101	9	11	17	16	22	432
ACSBG2	0	1	5	2	1	10	16	12	22	15
ACSF2	319	801	110	458	639	34	290	605	137	1678
ACSF3	157	127	63	155	96	15	79	15	9	338
ACSL1	1224	1859	189	877	403	64	267	115	315	4077
ACSL3	2031	2567	711	494	743	193	815	787	357	4339
ACSL4	1367	2739	197	1213	1576	61	529	266	116	1618
ACSL5	5975	5119	1894	2130	2234	412	1418	1954	313	1642
ACSL6	1	7	10	3	2	24	37	13	29	30
ACSM1	16	19	4	1	4	15	20	10	14	53
ACSM2A	3	0	8	0	2	18	17	12	17	28
ACSM2B	2	0	11	0	0	20	21	13	15	30
ACSM3	106	566	16	22	156	33	72	133	38	599
ACSM4	1	0	7	0	1	9	12	1	13	19
ACSM5	1	0	3	0	0	17	14	8	16	18
ACSS1	281	163	63	72	208	16	119	59	34	77
ACSS2	124	149	58	121	201	20	81	172	24	373
ACSS3	13	28	113	2	1	68	62	25	24	55
ACTA1	1	1	1	0	1	1	2	3	3	3
ACTA2	190	902	36	250	223	16	121	182	56	619
ACTB	12044	14675	4248	7751	5200	566	3918	6154	2224	36123
ACTBL2	1	0	4	3	2	7	13	9	14	6
ACTC1	1	34	7	0	0	22	14	4	36	33
ACTG1	20034	24578	8868	9854	7882	729	6143	6364	2376	38911
ACTG2	17	195	1	13	15	4	12	26	9	68
ACTL10	14	16	5	3	3	5	8	11	3	39
ACTL6A	758	1353	367	422	920	51	303	610	96	2048
ACTL6B	1	0	3	0	0	3	3	1	3	6
ACTL7A	0	1	0	0	0	2	1	1	1	2
ACTL7B	0	0	0	1	0	0	3	0	1	0
ACTL8	0	0	3	0	0	7	7	6	6	11
ACTL9	0	0	0	0	0	0	0	0	0	1
ACTN1	508	1697	120	201	388	17	178	658	99	1012
ACTN2	0	1	22	0	0	22	20	10	30	29
ACTN4	2222	2741	977	1970	1082	200	834	1951	356	7898
ACTR10	698	675	317	303	295	50	283	376	91	1195
ACTR1A	832	764	191	432	495	48	374	509	138	2107
ACTR1B	359	287	101	196	131	26	168	189	30	539
ACTR2	6100	6053	2525	3864	2621	266	2214	2085	786	19820
ACTR3	4345	4131	1674	2175	1669	242	1634	1232	525	8255
ACTR3B	91	55	23	108	133	9	54	61	25	348
ACTR3C	140	130	21	117	87	24	115	40	24	209
ACTR5	74	59	50	66	185	5	45	99	23	158
ACTR6	516	649	306	316	337	110	255	287	58	1443
ACTR8	860	735	218	435	487	47	324	258	113	2286
ACTRT1	1	0	0	0	0	3	0	1	4	7
ACTRT2	0	0	1	0	2	0	0	1	0	1
ACTRT3	108	90	39	2	1	2	59	9	15	94
ACVR1	320	148	120	131	60	23	145	94	51	558
ACVR1B	521	258	139	179	192	60	201	375	64	1050
ACVR1C	68	1	220	88	29	27	39	34	34	150
ACVR2A	1085	919	893	544	365	76	435	336	126	3851
ACVR2B	1814	910	266	1354	912	88	442	1009	142	4846
ACVRL1	59	98	11	25	31	16	39	41	5	82
ACY1	115	228	150	114	63	16	50	13	15	291
ACY3	0	1	0	1	0	2	0	1	2	0
ACYP1	58	81	70	93	126	5	43	70	12	142
ACYP2	106	87	29	25	27	10	49	29	13	201
ADA	1	7	16	11	23	6	17	2	13	22
ADAD1	0	0	4	0	0	9	9	10	15	34
ADAD2	2	4	2	0	0	1	0	0	4	35
ADAL	149	52	58	64	120	33	80	128	68	376
ADAM10	15420	7951	3912	6434	6803	318	3849	2518	1547	54431
ADAM11	8	2	6	1	1	8	6	7	3	15
ADAM12	23	134	18	22	28	30	30	241	53	85
ADAM15	98	320	300	149	134	26	106	177	25	630
ADAM17	1106	1223	759	952	562	92	561	722	188	5103
ADAM18	0	0	11	0	0	13	12	4	14	32
ADAM19	20	221	14	28	62	24	33	32	30	76
ADAM2	1	0	11	0	1	21	14	7	8	26
ADAM20	23	9	23	76	26	8	46	56	28	23
ADAM21	1	1	2	2	1	7	11	15	18	18
ADAM22	72	53	125	155	138	71	116	173	85	624
ADAM23	4	46	13	9	3	21	35	47	46	92
ADAM28	1116	185	267	11	3	105	639	18	47	901
ADAM29	1	0	3	0	0	13	15	5	18	49
ADAM30	1	0	7	0	0	6	5	5	12	10
ADAM32	24	17	23	10	5	23	47	36	29	122
ADAM33	3	3	6	0	1	3	4	5	6	5
ADAM7	1	0	12	0	0	37	22	4	29	47
ADAM8	39	155	49	383	125	21	68	72	34	478
ADAM9	6207	6527	938	1511	959	360	1740	612	415	12847
ADAMDEC1	25	18	6	19	27	25	16	6	23	31
ADAMTS1	383	310	57	229	89	60	181	59	71	602
ADAMTS10	11	5	2	2	3	10	8	6	6	7
ADAMTS12	7	8	12	6	18	25	23	33	45	77
ADAMTS13	31	8	7	4	7	1	24	13	6	30
ADAMTS14	6	8	4	10	5	10	15	7	14	20
ADAMTS15	9	11	1	1	1	6	12	8	8	17
ADAMTS16	0	2	7	0	0	23	26	14	25	32
ADAMTS17	4	1	19	11	1	17	26	13	35	22
ADAMTS18	4	2	13	0	2	28	15	25	35	53
ADAMTS19	37	14	18	15	5	33	45	35	34	62
ADAMTS2	20	39	14	32	27	15	25	22	15	39
ADAMTS20	3	0	57	41	93	47	42	90	42	73
ADAMTS3	5	5	25	1	2	17	24	30	42	80
ADAMTS4	2	6	6	13	37	7	9	6	8	16
ADAMTS5	51	59	17	19	47	21	55	37	35	132
ADAMTS6	10	27	26	3	27	43	35	53	45	67
ADAMTS7	31	12	16	29	107	3	46	85	11	77
ADAMTS8	10	22	2	2	1	3	12	10	7	63
ADAMTS9	78	303	119	99	203	53	169	61	77	312
ADAMTSL1	4	16	13	0	6	16	29	21	50	45
ADAMTSL2	7	24	4	11	5	3	14	19	2	38
ADAMTSL3	8	25	21	1	5	36	23	52	45	96
ADAMTSL4	5	1	4	28	8	6	17	8	7	60
ADAMTSL5	40	9	10	6	1	5	24	0	7	20
ADAP1	73	113	5	20	97	3	40	48	10	238
ADAP2	30	58	9	62	19	9	36	51	21	53
ADAR	3519	3448	1955	2676	2844	176	2321	3103	474	9748
ADARB1	67	69	37	27	84	30	93	318	30	259
ADARB2	7	3	7	1	3	6	15	20	22	15
ADAT1	371	291	124	168	185	25	149	168	63	775
ADAT2	166	108	71	289	190	18	167	88	44	156
ADAT3	0	0	0	0	0	1	0	0	0	4
ADC	11	1	5	10	5	11	13	6	7	17
ADCK1	33	23	27	35	16	24	31	24	18	47
ADCK2	236	261	63	120	98	17	69	153	41	762
ADCK3	195	519	107	387	160	21	109	122	29	838
ADCK4	63	49	25	65	43	6	32	25	8	214
ADCK5	34	56	19	22	24	3	30	26	6	75
ADCY1	303	240	35	7	292	67	78	167	48	422
ADCY10	4	3	27	3	3	35	24	67	35	63
ADCY2	5	1	14	0	3	31	36	29	40	43
ADCY3	194	150	109	235	258	20	76	277	43	597
ADCY4	19	18	8	40	12	10	20	28	17	29
ADCY5	17	135	6	0	0	15	22	10	11	35
ADCY6	469	659	191	514	275	41	295	380	93	843
ADCY7	38	139	20	30	30	9	42	37	12	237
ADCY8	0	0	10	0	0	24	15	7	16	42
ADCY9	133	91	13	28	46	20	80	115	34	164
ADCYAP1	2	5	2	5	0	10	13	25	17	25
ADCYAP1R1	4	0	12	0	1	29	19	15	17	23
ADD1	3015	2476	913	1827	1183	145	1093	523	334	7924
ADD2	3	5	14	0	0	22	15	9	28	35
ADD3	5338	3553	569	1067	1063	137	1484	1147	341	6995
ADGB	1	0	11	1	2	25	29	33	48	98
ADH1A	6	5	7	3	3	5	13	7	8	24
ADH1B	8	114	7	3	15	13	18	25	16	49
ADH1C	73	192	7	0	2	4	17	43	7	18
ADH4	11	12	11	4	8	14	18	12	17	37
ADH5	2773	5247	1237	1129	1823	132	887	565	198	5687
ADH6	153	334	12	5	17	24	27	14	37	50
ADH7	5	5	42	16	0	11	16	9	13	95
ADHFE1	155	21	37	97	8	19	93	104	21	80
ADI1	1803	1642	606	666	906	94	504	295	142	7028
ADIG	0	0	0	0	0	3	3	0	2	3
ADIPOQ	1	0	6	0	1	6	8	8	8	11
ADIPOR1	1798	2146	742	1317	519	92	853	676	137	3992
ADIPOR2	597	725	308	511	411	46	231	271	94	1641
ADK	561	633	170	372	278	33	253	124	80	1071
ADM	174	170	648	198	156	15	94	77	84	162
ADM2	3	0	3	2	6	3	3	6	3	5
ADNP	3483	2157	1469	2295	2680	133	1217	3410	367	9843
ADNP2	808	455	354	586	361	75	337	192	77	2691
ADO	502	523	193	243	255	34	219	92	59	1945
ADORA1	2	2	5	0	0	7	5	8	6	7
ADORA2A	4	9	4	4	1	0	7	6	3	17
ADORA2B	14	101	120	109	12	5	33	14	6	73
ADORA3	9	10	10	15	2	17	37	9	21	30
ADPGK	492	419	193	370	342	26	243	266	97	1683
ADPRH	53	68	8	34	22	14	37	46	19	65
ADPRHL1	19	16	3	5	2	1	9	7	5	30
ADPRHL2	253	258	108	155	172	22	89	153	26	477
ADPRM	94	93	32	41	63	4	50	30	26	163
ADRA1A	0	1	7	0	0	24	17	5	20	19
ADRA1B	0	0	1	0	0	1	2	1	1	1
ADRA1D	0	0	2	0	0	2	5	1	2	1
ADRA2A	3	18	2	2	7	1	6	104	9	12
ADRA2B	6	2	2	8	1	1	11	171	3	7
ADRA2C	0	34	4	1	0	2	3	1	0	16
ADRB1	86	37	161	11	2	8	14	4	5	161
ADRB2	88	60	53	16	30	8	16	15	10	72
ADRB3	0	0	2	0	0	1	2	0	3	1
ADRBK1	588	579	316	730	426	61	233	406	85	1697
ADRBK2	858	596	171	210	111	75	265	318	99	1445
ADRM1	270	318	151	238	221	21	129	111	22	701
ADSL	565	610	227	360	296	45	225	233	63	1148
ADSS	1820	3092	672	1525	830	104	835	559	181	3864
ADSSL1	137	42	31	2	7	18	22	52	16	50
ADTRP	100	108	9	8	3	11	28	57	18	90
AEBP1	115	83	8	33	21	5	59	59	17	168
AEBP2	1225	794	543	800	489	55	522	374	120	3113
AEN	119	116	45	97	78	7	76	32	19	208
AES	2391	1561	445	1086	831	101	788	521	214	2856
AFAP1	483	182	72	23	156	33	165	217	55	1452
AFAP1L1	126	112	21	31	66	14	34	39	25	257
AFAP1L2	67	156	20	38	34	7	49	55	16	126
AFF1	4243	2993	1401	1989	1629	151	1671	2121	471	7664
AFF2	10	23	10	4	1	32	25	42	43	72
AFF3	44	26	10	7	4	22	65	13	42	90
AFF4	4810	4208	2509	2607	1975	227	2012	1629	516	9409
AFG3L2	1572	1793	764	1315	766	99	726	594	186	2929
AFM	1	0	5	0	0	12	12	23	18	54
AFMID	180	196	43	104	127	11	65	54	28	250
AFP	0	0	5	0	0	8	21	14	28	41
AFTPH	2084	2478	867	1094	1122	114	775	1007	247	6450
AGA	565	685	225	260	188	54	136	198	55	743
AGAP1	522	617	148	181	237	53	267	475	87	1463
AGAP10	52	20	13	30	51	3	18	33	9	46
AGAP11	564	142	282	948	285	54	490	263	118	1146
AGAP2	27	59	22	99	35	23	35	15	27	159
AGAP3	739	596	73	532	367	43	322	112	79	1850
AGAP4	13	18	8	22	44	1	20	4	3	51
AGAP5	113	42	49	92	81	18	87	54	22	160
AGAP6	130	47	44	157	148	13	125	48	51	123
AGAP7	9	14	8	5	8	7	13	9	12	23
AGAP8	1	0	0	0	0	0	0	2	0	2
AGAP9	104	42	38	111	104	4	88	8	13	71
AGBL1	0	0	8	0	0	26	15	15	51	56
AGBL2	70	24	20	29	16	17	30	21	25	46
AGBL3	61	9	30	20	75	33	56	38	34	74
AGBL4	1	0	5	1	1	23	20	26	31	42
AGBL5	315	291	151	167	237	43	138	119	49	808
AGER	27	0	8	34	11	2	17	23	3	18
AGFG1	1322	1036	384	517	986	99	863	651	176	3461
AGFG2	64	183	32	45	59	21	56	80	40	244
AGGF1	1494	1405	494	619	613	95	453	390	163	1802
AGK	277	224	193	306	328	26	173	231	53	849
AGL	2087	2495	1125	1000	1134	81	975	1431	244	4928
AGMAT	81	97	4	78	90	10	26	31	14	78
AGMO	110	22	3	21	0	10	51	5	12	20
AGPAT1	159	213	103	104	106	22	83	98	37	164
AGPAT2	152	330	24	82	68	9	133	202	11	87
AGPAT3	1338	1303	558	1039	930	70	625	381	153	2868
AGPAT4	86	27	30	104	66	31	100	55	50	51
AGPAT5	1279	736	364	678	586	99	355	138	97	1841
AGPAT6	766	607	213	667	663	74	352	391	97	1907
AGPAT9	5	116	34	9	2	18	21	30	24	60
AGPHD1	39	36	20	68	56	12	35	45	17	40
AGPS	1478	1588	742	778	762	86	652	1325	164	3614
AGR2	6253	8049	7749	2618	235	386	2684	999	451	21254
AGR3	2	8	1	0	0	1	5	2	4	7
AGRN	1065	1082	323	911	553	109	614	1146	257	5655
AGRP	0	0	0	0	0	1	0	0	0	1
AGT	2	1	2	6	2	3	8	2	6	20
AGTPBP1	406	418	106	289	342	13	218	404	37	294
AGTR1	2	16	1	1	0	8	9	7	16	24
AGTR2	3	0	2	0	0	1	5	4	4	11
AGTRAP	43	53	30	38	65	6	31	38	6	161
AGXT	0	0	1	0	0	2	0	1	2	1
AGXT2	0	0	9	0	0	4	12	13	13	24
AGXT2L1	1	0	0	0	0	8	13	6	13	13
AGXT2L2	215	86	65	93	60	6	127	86	20	102
AHCTF1	2454	2778	1775	3071	1780	165	1184	973	312	5142
AHCY	771	1004	259	460	805	31	294	446	136	1142
AHCYL1	1954	1985	842	955	1218	123	674	909	255	4015
AHCYL2	366	195	153	280	183	51	184	113	71	785
AHDC1	75	40	19	71	42	12	57	26	20	101
AHI1	1014	473	438	470	842	55	686	747	124	1516
AHNAK	61660	32601	18250	26763	3055	2333	13459	20208	4078	117275
AHNAK2	172	88	54	16	2	38	33	30	44	54
AHR	13322	12084	6634	6511	7984	518	6619	3616	1658	44549
AHRR	15	18	10	3	6	6	21	29	12	55
AHSA1	1519	2289	544	901	488	106	547	487	149	3287
AHSA2	1064	136	332	882	1045	29	820	457	128	908
AHSG	0	0	2	0	0	7	1	2	10	6
AHSP	0	0	0	0	0	5	3	1	7	0
AICDA	0	1	1	0	0	12	7	3	13	8
AIDA	825	1055	410	317	344	63	249	250	111	1712
AIF1	21	67	12	19	19	15	49	17	16	50
AIF1L	19	562	14	13	7	5	9	12	13	34
AIFM1	351	356	148	337	265	34	175	135	55	691
AIFM2	137	203	45	132	156	18	92	105	25	261
AIFM3	24	18	14	21	38	7	37	14	19	224
AIG1	2939	2617	240	398	345	122	622	204	184	2416
AIM1	6216	4085	352	2398	1717	230	1203	244	409	4826
AIM1L	116	151	51	134	122	14	67	123	48	540
AIM2	166	13	467	71	2	80	24	19	30	104
AIMP1	1462	1484	644	867	647	67	515	301	143	3750
AIMP2	143	287	101	105	122	13	73	84	21	342
AIP	239	285	96	127	127	12	67	66	14	535
AIPL1	1	1	1	3	0	2	7	1	4	4
AIRE	2	0	0	0	0	2	3	2	1	0
AJAP1	82	20	3	3	3	8	36	4	2	7
AJUBA	361	259	264	258	68	29	272	79	91	2261
AK1	17	31	5	17	65	0	34	57	8	16
AK2	1257	1562	526	1245	1440	106	592	613	187	2411
AK3	2026	1597	675	848	486	28	721	719	154	1685
AK4	250	174	493	27	31	50	91	43	66	72
AK5	10	59	13	2	4	18	13	24	18	25
AK7	4	19	10	1	2	20	21	18	17	28
AK8	3	6	3	0	3	3	9	12	10	7
AKAP1	792	1215	452	621	873	77	405	731	101	2493
AKAP10	788	607	308	638	526	27	501	152	122	2110
AKAP11	2698	1825	1519	2714	1540	147	1293	1903	297	6783
AKAP12	882	583	17	226	308	71	139	534	95	1283
AKAP13	5162	3141	1029	2005	1373	287	1800	1814	618	8930
AKAP14	1	0	2	0	0	6	5	1	1	3
AKAP17A (NC_000023 1710485..1721413)	106	74	37	98	91	6	25	45	24	270
AKAP17A (NC_000024 1660485..1671413)	126	77	39	108	83	14	33	39	18	302
AKAP2	3	67	0	0	1	0	0	0	0	2
AKAP3	11	12	7	1	10	22	9	7	20	66
AKAP4	0	0	4	0	1	8	7	6	9	10
AKAP5	28	57	21	29	15	20	39	58	29	97
AKAP6	7	34	46	18	5	37	55	56	76	97
AKAP7	238	360	276	75	88	48	133	56	70	193
AKAP8	670	580	329	599	425	47	331	237	87	1657
AKAP8L	466	439	177	429	431	38	298	318	94	765
AKAP9	10315	6542	3210	5991	4773	323	3152	3732	799	22146
AKD1	389	275	35	135	218	63	215	177	102	568
AKIP1	122	129	59	77	83	13	69	36	15	197
AKIRIN1	714	610	206	309	351	32	342	409	86	1412
AKIRIN2	234	195	76	230	97	4	108	71	22	604
AKNA	293	219	17	153	143	13	224	155	41	506
AKNAD1	1	0	8	0	1	20	20	11	21	12
AKR1A1	665	950	299	542	556	53	282	338	82	1052
AKR1B1	41	495	58	58	384	18	72	117	53	1429
AKR1B10	0	85	3	2	4	15	14	12	18	37
AKR1B15	2	6	19	7	6	47	38	15	50	72
AKR1C1	527	842	142	515	199	41	314	166	102	1429
AKR1C2	1920	3592	2697	247	1618	256	2918	235	568	20563
AKR1C3	907	3269	356	17	1148	155	618	732	180	2284
AKR1C4	0	0	5	0	0	9	13	12	18	17
AKR1D1	1	0	2	2	0	13	11	7	17	21
AKR1E2	5	4	49	28	228	13	16	443	17	158
AKR7A2	218	377	114	108	199	18	80	176	29	496
AKR7A3	5	8	8	14	6	0	3	6	5	3
AKT1	915	747	488	521	432	56	337	632	101	1965
AKT1S1	117	91	33	86	67	6	51	58	32	348
AKT2	351	364	124	303	293	20	170	131	45	1022
AKT3	332	265	29	74	78	39	101	199	48	258
AKTIP	468	649	164	336	319	45	317	238	99	2305
ALAD	271	469	42	131	109	13	102	76	24	260
ALAS1	529	1876	265	785	1092	67	527	1145	132	4641
ALAS2	1	1	2	0	4	12	3	5	3	13
ALB	0	0	3	0	1	16	19	23	16	31
ALCAM	6646	3717	3218	792	310	167	1354	439	226	1458
ALDH16A1	62	96	38	78	64	9	36	47	19	203
ALDH18A1	691	1011	444	559	624	49	312	340	131	2371
ALDH1A1	55	1702	9	5	15	19	31	38	25	67
ALDH1A2	74	18	32	67	36	14	28	349	26	168
ALDH1A3	110	323	103	172	129	39	242	155	66	708
ALDH1B1	178	191	78	134	79	11	108	63	18	230
ALDH1L1	1231	2087	18	12	131	85	349	8	16	1232
ALDH1L2	17	21	14	13	8	17	36	32	57	108
ALDH2	55	143	3	38	5	20	20	23	14	48
ALDH3A1	8	197	71	8	9	0	14	0	7	50
ALDH3A2	362	1120	418	141	518	26	206	72	50	1054
ALDH3B1	148	120	8	10	3	8	34	10	7	97
ALDH3B2	7	111	2	68	89	7	28	199	16	623
ALDH4A1	148	341	68	91	190	25	151	70	29	360
ALDH5A1	675	534	251	712	309	65	276	286	100	1421
ALDH6A1	610	353	122	216	158	24	149	100	39	645
ALDH7A1	24	428	18	316	109	19	189	369	41	50
ALDH8A1	19	5	15	7	5	16	23	22	14	72
ALDH9A1	1135	1369	584	441	374	69	369	856	96	1943
ALDOA	3386	6365	3140	4025	1793	264	1395	2010	599	10689
ALDOB	2	0	6	0	1	7	13	3	16	16
ALDOC	79	286	115	48	70	19	50	134	29	266
ALG1	163	159	80	126	52	21	98	56	48	471
ALG10	219	155	76	73	129	11	80	79	32	580
ALG10B	804	624	228	316	554	85	295	358	94	1731
ALG11	310	243	105	341	129	28	169	57	57	849
ALG12	145	129	51	92	46	12	72	51	19	335
ALG13	1008	322	489	482	783	62	569	285	135	991
ALG14	100	146	27	59	40	10	50	81	19	188
ALG1L	54	27	19	20	9	5	28	6	7	51
ALG1L2	5	4	3	2	2	5	15	3	5	17
ALG2	579	518	101	282	202	13	224	241	40	946
ALG3	121	119	43	103	72	6	64	69	24	348
ALG5	477	634	140	471	261	65	225	330	72	1200
ALG6	214	225	130	241	287	24	135	135	31	437
ALG8	291	246	119	141	208	12	140	162	53	649
ALG9	503	325	164	328	252	31	235	309	82	1177
ALK	5	0	13	1	1	17	18	11	29	29
ALKBH1	139	115	50	88	53	18	72	93	28	237
ALKBH2	151	160	58	78	121	3	67	45	18	345
ALKBH3	288	176	111	208	151	24	133	92	39	293
ALKBH4	56	52	18	23	29	7	16	30	9	150
ALKBH5	934	991	498	354	347	23	357	869	105	2600
ALKBH6	34	14	16	33	47	2	23	22	3	62
ALKBH7	110	141	30	38	66	4	41	12	5	158
ALKBH8	458	294	175	200	175	17	236	148	48	847
ALLC	0	0	1	1	0	7	10	6	8	18
ALMS1	1901	1136	688	932	2405	113	1055	2513	280	2804
ALOX12	10	20	20	6	33	4	9	7	11	12
ALOX12B	1	2	5	0	0	6	8	6	3	4
ALOX15	15	24	30	13	21	14	11	14	20	314
ALOX15B	10	4	266	16	0	5	5	0	7	158
ALOX5	2148	2061	239	1259	405	40	1334	217	180	4288
ALOX5AP	8	30	11	14	3	8	17	10	14	35
ALOXE3	2	0	4	13	1	4	11	6	11	33
ALPI	0	0	4	0	0	4	2	1	2	3
ALPK1	804	378	242	428	258	56	437	115	114	1532
ALPK2	3	9	16	5	4	38	32	14	57	69
ALPK3	9	108	12	34	21	37	31	76	35	97
ALPL	32	30	4	11	8	10	27	11	21	29
ALPP	1	0	0	2	0	5	2	1	2	110
ALPPL2	0	0	2	0	0	1	3	0	1	6
ALS2	513	638	253	203	455	57	319	274	110	1239
ALS2CL	417	369	159	518	441	31	688	140	106	955
ALS2CR11	11	2	71	9	1	29	32	146	56	119
ALS2CR12	8	11	11	2	12	20	12	19	14	39
ALS2CR8	362	218	112	48	197	41	270	63	47	331
ALX1	0	0	16	1	0	23	6	12	10	22
ALX3	0	0	1	0	0	2	3	2	5	12
ALX4	1	0	6	0	0	8	8	5	8	8
ALYREF	402	466	175	321	412	33	170	265	52	1560
AMACR	364	678	448	143	181	31	117	547	77	2089
AMBN	0	0	8	0	0	12	12	19	19	34
AMBP	0	12	1	0	0	7	2	10	10	2
AMBRA1	393	273	147	439	237	38	315	232	75	481
AMD1	892	1334	341	587	718	59	331	372	142	2353
AMDHD1	0	1	2	0	1	3	10	6	9	23
AMDHD2	35	35	35	47	12	1	24	12	12	77
AMELX	2	0	0	0	0	2	5	1	1	5
AMELY	0	0	1	0	0	5	1	0	3	5
AMFR	1070	1120	418	363	337	68	353	308	97	2910
AMH	1	0	0	1	11	0	0	13	0	11
AMHR2	1	0	1	0	0	6	1	4	15	2
AMICA1	20	142	19	9	41	12	20	21	26	46
AMIGO1	45	38	29	9	16	9	21	40	14	122
AMIGO2	893	1357	1544	1317	969	186	293	387	69	3802
AMIGO3	14	8	35	24	16	4	12	22	3	38
AMMECR1	400	598	327	352	457	63	140	155	93	1019
AMMECR1L	446	358	137	348	185	38	216	182	73	891
AMN	14	7	11	12	0	0	6	5	1	6
AMN1	146	162	45	65	99	16	58	35	32	413
AMOT	95	867	99	16	248	37	51	354	43	92
AMOTL1	1140	1541	392	521	568	67	434	484	215	4174
AMOTL2	185	324	36	186	116	24	67	157	46	1020
AMPD1	1	0	10	0	0	16	14	5	24	18
AMPD2	178	215	95	247	154	13	91	49	31	560
AMPD3	317	297	186	123	108	31	145	102	54	265
AMPH	7	7	12	1	2	15	31	16	23	46
AMT	197	145	116	40	26	8	113	12	15	269
AMTN	1	1	1	0	0	10	7	1	7	21
AMY1A	1	0	1	0	0	11	20	12	43	75
AMY1B	2	0	5	1	0	6	9	6	4	6
