Feature.ID	B1_Total_Exon_Reads_fwd_RNA.Seq	B2_Total_Exon_Reads_fwd_RNA.Seq	B3_Total_Exon_Reads_fwd_RNA.Seq	B4_Total_Exon_Reads_fwd_RNA.Seq	B5_Total_Exon_Reads_fwd_RNA.Seq	B6_Total_Exon_Reads_fwd_RNA.Seq	B7_Total_Exon_Reads_fwd_RNA.Seq	B8_Total_Exon_Reads_fwd_RNA.Seq	B9_Total_Exon_Reads_fwd_RNA.Seq	B10_Total_Exon_Reads_fwd_RNA.Seq
KRTAP4-3	0	0	1	0	0	0	3	0	5	0
KRTAP4-4	0	0	0	0	0	0	1	1	1	1
KRTAP4-5	0	0	2	0	0	1	1	0	3	2
KRTAP4-6	0	0	0	0	0	0	1	2	4	2
KRTAP4-7	1	0	2	0	0	5	4	3	0	2
KRTAP4-8	0	0	0	0	0	1	0	0	0	1
KRTAP4-9	0	0	2	0	0	0	7	0	3	2
KRTAP5-1	0	0	0	0	0	2	1	1	1	0
KRTAP5-10	9	3	2	9	0	3	6	1	4	11
KRTAP5-11	0	0	0	1	0	4	3	0	3	1
KRTAP5-2	0	0	0	0	0	3	1	0	3	1
KRTAP5-3	1	0	0	0	0	0	0	0	0	2
KRTAP5-4	0	0	0	0	0	2	1	0	3	2
KRTAP5-5	0	0	1	0	0	1	1	0	3	1
KRTAP5-6	0	0	1	0	0	1	0	0	0	0
KRTAP5-7	14	0	5	14	1	11	9	1	1	3
KRTAP5-8	8	1	3	16	1	4	12	0	3	6
KRTAP5-9	38	8	5	17	1	15	15	3	7	17
KRTAP6-1	0	0	0	0	0	0	1	0	0	0
KRTAP6-2	0	0	1	0	0	0	0	0	0	0
KRTAP6-3	0	0	0	0	0	0	5	2	4	0
KRTAP7-1	0	0	0	0	0	1	0	1	1	4
KRTAP8-1	0	0	0	0	0	3	4	1	2	1
KRTAP9-1	0	0	0	0	0	0	0	0	3	2
KRTAP9-2	0	0	0	0	0	0	0	2	4	3
KRTAP9-3	0	0	0	1	0	2	0	3	2	3
KRTAP9-4	0	0	4	0	0	2	0	3	1	0
KRTAP9-7	0	0	1	0	0	0	2	0	0	1
KRTAP9-8	0	0	0	0	0	1	0	1	4	0
KRTAP9-9	0	0	1	0	0	2	3	0	7	0
KRTCAP2	370	790	230	227	233	30	317	497	62	889
KRTCAP3	127	59	111	206	66	17	74	22	17	359
KRTDAP	0	0	4	1	1	3	7	5	4	3
KSR1	15	32	21	29	31	28	33	42	37	45
KSR2	788	284	59	377	285	70	139	226	98	1108
KTI12	0	0	0	0	0	0	0	0	0	1
KTN1	15225	18964	6464	9491	4348	720	5553	7737	1133	35772
KXD1	340	335	108	163	291	23	140	114	42	695
KY	4	1	8	1	1	10	14	5	15	24
KYNU	141	66	653	43	44	107	68	23	117	53
L1CAM	0	8	4	0	0	2	6	3	12	5
L1TD1	1	2	6	0	0	18	18	13	22	27
L2HGDH	355	364	112	238	214	27	160	202	52	568
L3HYPDH	65	31	34	49	53	9	40	33	9	53
L3MBTL1	112	9	22	93	89	15	89	15	29	73
L3MBTL2	259	269	115	226	131	20	159	141	39	559
L3MBTL3	884	293	216	144	209	43	320	104	90	711
L3MBTL4	138	10	24	5	0	27	103	15	23	36
LACC1	585	380	262	206	276	37	406	275	114	797
LACE1	109	103	39	102	70	18	64	51	21	146
LACRT	0	0	1	0	0	2	0	0	6	9
LACTB	426	393	133	342	207	14	140	127	58	459
LACTB2	192	447	106	139	273	26	113	310	46	400
LACTBL1	0	0	0	0	0	2	3	2	6	0
LAD1	1681	4794	1556	839	520	106	1740	443	273	7449
LAG3	4	0	1	0	0	2	1	1	4	3
LAGE3	16	25	8	11	21	1	11	14	4	59
LAIR1	13	36	9	17	12	7	24	16	12	145
LAIR2	0	0	0	0	0	1	1	1	4	1
LALBA	0	0	3	0	0	1	4	2	5	2
LAMA1	81	5	23	3	2	47	49	32	60	71
LAMA2	340	473	110	59	154	96	281	217	155	849
LAMA3	1178	938	283	90	8	120	520	227	221	378
LAMA4	306	612	64	235	491	76	104	251	79	644
LAMA5	651	357	787	864	332	27	451	263	109	2914
LAMB1	4530	2666	1073	1204	1799	198	783	863	382	12577
LAMB2	303	718	178	219	268	46	210	310	57	2288
LAMB3	3034	1982	1855	995	235	280	2171	93	322	11419
LAMB4	7	3	17	0	3	25	36	28	33	55
LAMC1	4113	7664	2564	1630	751	190	1529	1897	489	9946
LAMC2	473	2000	376	373	175	102	520	361	340	1702
LAMC3	80	74	7	20	14	4	56	41	12	109
LAMP1	2913	2178	689	1157	644	333	762	820	313	6101
LAMP2	1619	1921	875	633	767	155	707	794	192	1968
LAMP3	41	48	9	68	15	17	40	22	25	39
LAMP5	1	4	5	0	0	9	7	1	6	8
LAMTOR1	342	402	127	172	163	44	179	155	62	958
LAMTOR2	196	329	107	96	88	15	151	141	22	526
LAMTOR3	1026	982	333	402	532	87	382	237	107	4229
LAMTOR4	366	460	154	238	194	27	249	98	51	874
LAMTOR5	283	331	127	138	272	31	148	129	36	640
LANCL1	1329	796	810	446	384	75	487	472	144	1903
LANCL2	356	308	132	229	103	26	163	87	62	704
LANCL3	159	40	20	41	24	11	27	140	11	104
LAP3	818	1035	298	595	366	55	358	104	128	2341
LAPTM4A	2935	2187	1619	886	873	112	892	670	190	6014
LAPTM4B	447	2080	354	294	982	50	273	224	51	1004
LAPTM5	45	160	20	46	28	30	87	18	19	786
LARGE	589	378	134	347	245	51	228	473	89	1475
LARP1	2631	1711	1068	2626	856	112	856	788	312	3101
LARP1B	1075	793	341	677	604	57	327	534	81	2248
LARP4	1583	1709	923	1455	893	114	846	810	237	4531
LARP4B	1683	1183	609	1579	1062	73	778	1071	224	4098
LARP6	250	109	16	12	34	6	73	65	34	152
LARP7	2027	1269	553	852	756	70	619	425	138	4298
LARS	2854	2685	1090	1669	1457	115	1072	714	283	3246
LARS2	301	627	255	282	302	54	213	204	97	882
LAS1L	337	439	153	240	372	23	150	656	29	768
LASP1	2601	1953	1131	1187	928	93	620	1269	212	6081
LAT	11	8	2	5	7	5	10	12	6	11
LAT2	4	15	4	2	4	5	14	3	8	17
LATS1	1213	1057	360	977	554	57	521	460	184	4285
LATS2	194	142	29	171	63	20	95	50	31	326
LAX1	7	18	9	6	2	14	13	9	17	18
LAYN	35	65	18	14	17	8	20	22	16	71
LBH	183	336	41	117	85	19	72	112	31	436
LBP	2	0	1	0	0	12	8	5	7	14
LBR	683	1122	317	764	579	62	408	399	102	4618
LBX1	0	0	1	0	0	0	0	0	1	0
LBX2	6	1	3	2	3	1	3	2	1	14
LCA5	382	219	130	102	216	26	159	112	73	845
LCA5L	11	32	11	0	16	17	20	16	23	47
LCAT	24	1	3	31	13	0	17	3	4	23
LCE1A	0	0	0	0	1	0	4	0	4	2
LCE1B	1	0	0	0	0	1	1	0	1	1
LCE1C	0	0	0	0	0	2	1	0	0	1
LCE1D	0	0	0	0	0	0	1	0	1	0
LCE1E	1	0	2	1	1	3	13	10	18	7
LCE1F	0	0	0	0	0	0	1	1	0	0
LCE2A	0	0	0	0	0	0	3	2	1	2
LCE2B	1	0	0	0	0	0	0	1	1	0
LCE2C	0	0	3	0	0	2	2	0	0	1
LCE2D	0	0	0	0	0	0	0	1	1	0
LCE3D	0	0	0	0	0	0	3	0	0	0
LCE3E	0	0	1	0	0	3	2	3	1	1
LCE4A	0	0	0	0	0	0	0	2	0	0
LCE5A	0	0	1	0	0	0	2	2	0	2
LCE6A	2	0	6	0	0	3	2	2	4	11
LCK	13	37	3	5	4	9	13	10	3	29
LCLAT1	706	373	262	439	342	48	293	452	87	2553
