Feature.ID	B13_FFPE_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B13_FF_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B11_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B11_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B11_FFPE_T2gII_Total_Exon_Reads_fwd_RNA.Seq	B11_FF_T2gII_Total_Exon_Reads_fwd_RNA.Seq	B12_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B12_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B12_FFPE_T1gII_Total_Exon_Reads_fwd_RNA.Seq	B12_FF_T1gII_Total_Exon_Reads_fwd_RNA.Seq	B14_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B14_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B14_FFPE_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B14_FF_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B15_FF_T2grIII_Total_Exon_Reads_fwd_RNA.Seq	B15_FFPE_T2grIII_Total_Exon_Reads_fwd_RNA.Seq
SLC44A4	4	211	2	135	11	1909	111	2404	9	1440	24	2198	10	1950	380	6
SLC44A5	14	723	2	485	6	1009	151	1165	9	639	28	3699	35	4507	1142	26
SLC45A1	0	1	0	2	0	12	1	1	0	13	1	25	0	53	12	0
SLC45A2	0	3	0	6	0	9	1	16	0	2	1	21	0	12	29	0
SLC45A3	5	89	1	95	9	211	103	861	7	563	15	570	22	1206	699	12
SLC45A4	1	37	0	35	6	356	22	335	4	187	4	386	10	428	356	9
SLC46A1	1	31	4	40	7	376	29	411	3	339	8	521	3	475	2029	21
SLC46A2	0	0	0	4	0	9	0	36	0	19	0	21	0	30	5	0
SLC46A3	2	108	0	22	4	424	34	497	2	115	4	638	2	504	824	8
SLC47A1	2	11	0	3	1	75	1	12	0	1	0	24	0	32	105	1
SLC47A2	0	2	1	0	0	6	0	1	0	0	1	1	0	7	16	0
SLC48A1	2	208	5	34	1	278	44	731	5	515	20	480	12	952	1089	15
SLC4A1	0	1	0	2	1	2	2	16	0	1	0	33	0	31	14	1
SLC4A10	0	0	0	1	0	1	0	11	0	0	0	7	0	25	60	0
SLC4A11	3	72	1	44	6	310	42	519	9	481	8	793	15	998	290	9
SLC4A1AP	6	407	3	120	8	1147	81	1083	14	849	21	1797	23	2412	2368	35
SLC4A2	4	390	3	90	19	885	128	1314	12	1257	19	1929	34	2334	2156	36
SLC4A3	0	62	0	0	2	60	5	41	0	25	8	588	9	234	261	9
SLC4A4	0	32	1	12	18	1733	66	2685	0	26	6	528	3	294	271	3
SLC4A5	5	67	2	60	2	100	83	266	7	111	6	673	10	609	172	9
SLC4A7	7	345	13	164	16	2331	269	2397	21	1545	63	5095	81	8814	5019	87
SLC4A8	0	22	0	5	1	81	4	20	1	17	1	163	3	95	268	2
SLC4A9	0	5	0	5	0	4	0	12	0	4	0	36	1	15	89	0
SLC50A1	7	140	5	52	10	843	53	906	5	359	13	880	15	1325	1298	13
SLC51A	0	0	0	2	0	49	0	1	0	9	0	4	0	5	45	1
SLC51B	0	0	0	0	0	1	0	0	0	0	0	3	0	2	4	0
SLC52A1	0	6	1	6	2	33	0	10	0	7	1	52	1	33	43	0
SLC52A2	4	44	2	23	6	444	22	498	5	444	1	277	1	403	698	4
SLC52A3	1	108	4	32	5	423	30	521	1	253	7	553	2	479	687	4
SLC5A1	0	10	0	0	1	2	1	3	0	0	0	5	0	24	53	1
SLC5A10	0	1	0	2	0	3	0	3	0	7	0	7	0	12	22	0
SLC5A11	0	1	0	2	0	9	2	3	0	6	0	0	0	13	40	1
SLC5A12	2	90	0	17	0	37	33	208	10	121	1	66	0	97	59	5
SLC5A2	0	1	0	2	0	11	0	22	0	21	0	5	0	31	31	0
SLC5A3	0	1	0	4	0	26	0	31	0	8	2	28	2	109	47	0
SLC5A4	0	5	0	11	0	62	2	16	1	1	2	75	3	51	35	1
SLC5A5	0	3	0	0	0	6	0	0	0	1	0	1	0	10	171	2
SLC5A6	4	169	0	44	7	557	40	707	2	617	13	887	9	1802	2313	20
SLC5A7	5	114	1	51	1	10	92	920	1	92	4	376	3	171	139	0
SLC5A8	0	0	0	0	0	15	0	1	0	0	0	3	0	19	23	1
SLC5A9	0	2	1	0	0	1	0	3	0	4	1	8	0	12	7	0
SLC6A1	0	25	0	6	1	41	20	100	0	7	8	184	3	152	69	3
SLC6A11	2	53	0	10	0	2	11	80	0	84	0	245	3	627	400	5
SLC6A12	0	0	0	2	0	10	3	6	0	0	0	7	1	12	118	2
SLC6A13	0	1	0	1	1	7	2	2	0	0	0	9	0	11	67	1
SLC6A14	13	63	2	2	13	775	2	10	0	4	2	312	0	132	29	0
SLC6A15	0	0	0	0	0	0	0	2	0	0	0	0	0	22	112	0
SLC6A16	0	3	0	2	1	46	0	4	0	1	1	78	0	21	178	11
SLC6A17	0	8	0	0	0	1	0	0	0	2	0	13	0	24	69	2
SLC6A18	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0
SLC6A19	0	0	0	0	0	1	0	0	0	0	0	0	0	6	7	0
SLC6A2	0	2	0	1	0	6	0	2	0	1	1	8	0	28	219	4
SLC6A20	0	0	0	3	0	19	0	7	0	9	0	27	0	17	20	1
SLC6A3	0	0	0	1	0	0	0	0	0	0	0	0	0	8	9	0
SLC6A4	0	0	0	1	0	2	9	67	2	25	0	55	0	38	52	0
SLC6A5	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	0
SLC6A6	9	457	11	148	15	1085	188	1445	28	781	84	4230	50	3527	2982	127
SLC6A7	0	0	0	1	0	9	0	1	0	1	0	1	0	5	11	0
SLC6A8	44	1084	16	41	29	1437	247	1384	26	1725	73	3809	173	10983	4402	80
SLC6A9	0	26	1	25	2	95	1	20	0	23	0	77	0	45	291	7
SLC7A1	13	661	9	41	24	1703	145	1865	11	762	37	2032	43	3886	2582	43
SLC7A10	0	1	1	0	0	0	0	1	0	1	0	2	0	8	18	0
SLC7A11	19	1938	7	288	9	1104	145	1584	9	136	13	2257	12	1005	1280	24
SLC7A13	0	0	0	1	0	5	0	0	0	0	0	3	0	3	4	0
SLC7A14	0	0	0	1	0	3	1	0	0	0	0	8	0	33	60	0
SLC7A2	1	46	1	7	6	833	49	663	1	35	33	1649	7	1023	688	16
SLC7A3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	0
SLC7A4	0	11	0	4	0	8	3	223	0	59	4	65	0	164	9	0
SLC7A5	4	339	4	50	4	341	26	298	4	176	3	580	7	819	8382	105
SLC7A6	3	223	1	147	11	1288	62	471	6	284	17	1430	18	1559	1841	57
SLC7A6OS	2	109	1	45	2	267	40	434	8	229	17	613	11	686	737	19
SLC7A7	1	21	0	7	1	315	2	71	0	11	3	231	0	56	185	4
SLC7A8	2	294	2	79	4	263	104	943	1	191	43	2440	10	992	2720	52
SLC7A9	0	4	0	10	0	2	1	6	0	9	0	17	0	11	70	1
SLC8A1	0	133	2	33	14	1490	41	634	5	274	19	1616	11	1029	985	47
SLC8A2	0	3	0	0	0	0	4	24	0	17	0	17	0	21	124	5
SLC8A3	0	4	0	0	0	21	0	11	0	0	0	29	0	34	43	1
SLC9A1	7	498	3	171	8	828	145	1654	18	735	43	2574	24	2027	8251	100
SLC9A2	2	185	1	22	1	150	154	1293	9	1731	15	886	11	1103	6360	41
SLC9A3	0	0	0	0	0	3	0	4	0	8	0	8	1	16	0	0
SLC9A3R1	5	130	4	23	3	651	49	767	6	1165	8	763	9	791	2702	48
SLC9A3R2	4	100	1	23	9	353	34	280	4	115	13	520	16	692	468	30
SLC9A4	1	95	1	5	0	14	9	216	1	89	2	465	1	196	809	10
SLC9A5	0	3	0	3	0	11	3	7	0	1	0	22	0	46	73	8
SLC9A6	3	150	3	44	10	1458	97	1054	11	983	14	1119	11	1393	1295	20
SLC9A7	9	444	9	99	21	3377	62	600	3	499	12	1097	15	1061	2327	46
SLC9A8	6	221	7	154	8	1070	130	868	9	641	27	1450	8	1039	772	23
SLC9A9	1	148	4	107	5	380	10	151	1	38	1	671	4	334	427	5
SLC9B1	0	5	0	0	1	24	2	33	0	17	1	46	0	64	28	2
SLC9B2	0	43	0	1	3	217	8	84	0	67	1	278	6	328	80	4
SLC9C1	1	4	1	10	0	23	4	37	0	7	0	220	0	126	68	5
SLC9C2	0	3	0	0	0	14	0	6	0	0	0	9	0	34	38	0
SLCO1A2	1	117	0	0	2	5	18	83	2	98	2	372	6	412	163	6
SLCO1B1	1	20	1	1	0	17	0	0	0	0	0	1	0	24	18	0
SLCO1B3	2	10	15	3	31	3361	0	3	0	2	0	0	0	15	76	1
SLCO1B7	1	0	0	3	0	129	0	1	0	0	0	0	0	9	13	0
SLCO1C1	1	11	0	1	0	49	0	31	2	3	0	46	1	129	24	2
SLCO2A1	3	100	1	51	5	739	15	275	5	126	4	916	20	958	265	7
SLCO2B1	3	46	2	35	5	711	15	369	1	30	10	592	7	241	664	9
SLCO3A1	5	181	2	21	6	547	20	303	1	80	23	1115	7	473	1338	25
SLCO4A1	0	7	0	1	0	19	0	16	0	0	0	100	2	263	525	8
SLCO4C1	2	26	0	6	1	114	6	32	0	19	1	406	1	884	98	2
SLCO5A1	0	8	0	1	1	60	0	9	0	0	0	122	0	7	737	9
SLCO6A1	1	42	3	68	0	62	12	47	2	39	1	426	1	124	66	3
SLFN11	3	100	2	62	12	1065	16	290	0	82	19	1903	9	958	1839	36
SLFN12	4	60	1	109	5	633	77	853	8	375	14	1258	7	1025	165	6
SLFN12L	1	56	1	15	7	192	2	69	0	7	2	437	0	37	172	6
SLFN13	15	173	9	87	7	392	56	389	7	545	23	1259	41	2088	3745	50
SLFN14	0	0	0	0	0	4	0	1	0	0	0	1	0	12	11	0
SLFN5	16	643	11	249	33	3180	364	3265	33	1652	111	7484	59	5110	7189	121
SLFNL1	0	2	0	2	0	2	2	18	0	1	1	23	0	14	18	2
SLIRP	0	80	1	31	2	658	22	595	2	595	9	553	3	1371	1190	12
